	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N155A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N164A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N226A	N228A	N229A	N230A	N232A	N233A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N255A	N256A	N257A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A
LRRF1	6.482853232	6.357552005	6.325530332	6.893604905	5.475733431	6.795715007	6.427251407	5.942514505	6.891176125	6.526694846	7.102238194	6.74819285	5.968090752	7.084276911	6.321391018	6.5145605	7.309248961	6.4270408	7.103069912	6.583039476	6.575304087	6.291777719	6.632268215	7.063934306	6.543805176	6.175032186	6.712329528	7.005568037	6.778734244	6.721099189	6.796021442	6.400879436	6.461070114	6.221103725	6.841721581	6.562242424	6.48864354	6.236492618	6.58345891	5.860466259	6.35365956	6.731997787	6.61073896	6.301953395	6.431692458	7.530601415	6.52544992	6.50498365	6.191799501	6.740118043	6.03562391	6.177917792	6.653919873	7.024585638	6.614709844	6.687338165	6.780047576	6.948884448	6.54225805	6.434628228	6.48703608	6.686947758	6.083213368	5.649615459	6.915281866	6.877504094	6.390637555	6.775508432	6.523715959	6.425284165	6.264911693	6.648997002	6.841944747	6.437264198	6.411087227	6.414473836	6.48058827	6.475822107	6.556122818	6.187846909	7.637349411	5.904484098	6.114783447	6.804776378	6.731997787	4.678071905	6.730639956	6.456149035	5.62935662	5.590961241	7.321026129	6.523561956	6.963474124	5.112700133	6.239640973	6.786596362	6.483815777	7.58044702	6.713186159	6.653907969	6.338067798
RL29	6.083213368	5.938164821	6.470862199	7.076815597	5.752213368	7.248876343	6.982993575	6.467089033	6.591484843	6.357419619	6.361352726	6.842978832	5.947198584	7.025693274	6.933100475	6.942514505	6.83541884	6.399171094	7.44625623	6.266786541	7.272396509	6.761551232	6.799605422	6.87282876	6.441284272	6.501439145	7.231701199	6.899659026	7.197708158	6.807354922	6.861707287	6.475733431	6.45779126	7.199672345	6.345183447	6.619119511	6.608809243	6.836681593	6.45779126	6.577428828	6.982993575	6.490249211	6.345183447	6.387155718	6.699051844	7.085339669	6.300123725	6.777419716	5.773468928	6.249824549	6.918863237	6.068240861	6.690696444	7.84862294	6.441284272	7.016808288	7.023477152	7.016808288	6.62935662	6.376776572	6.089582893	6.400879436	6.325530332	6.171927354	7.216260837	6.929554316	6.345183447	6.491853096	6.053111336	6.334496768	6.48058827	7.274261661	6.809928866	6.635173947	6.968090752	6.776103988	6.348728154	6.899659026	6.652486495	5.897240426	6.748544586	6.738767837	6.341630009	6.687900522	6.059614856	5.986410935	6.416164165	6.207502459	6.307428525	8.175923742	7.230741003	6.336283388	6.971543554	5.997744026	6.515699838	6.791814071	7.087462841	7.87282876	6.311067102	6.676662335	6.209453366
VATD	6.287250643	6.367865032	5.781359714	6.557112148	5.623515741	7.173926932	6.734885371	6.282697407	6.645433791	6.263549159	6.387663734	6.373405479	6.177099091	7.123086751	6.290940402	6.141596278	7.080018029	6.710117632	7.95942242	6.40599236	6.806089878	6.667316223	6.712870868	6.737561119	6.157852169	5.904484098	7.274261661	6.765534746	7.398316163	7.335390355	6.048759312	6.114783447	8.994919089	7.283551423	7.030115331	7.443772393	6.253426931	6.590961241	6.261154673	7.046578367	6.534497434	6.354959525	6.359950181	7.364572432	6.01346226	7.30560579	6.285823223	6.063977026	6.357552005	6.110613806	6.659241601	5.773468928	7.014578465	7.716990894	7.157852169	6.658219687	6.62497818	6.761287157	6.276124405	6.906890596	6.147713722	6.829088444	6.608809243	6.114783447	7.341630009	6.756222713	7.323730338	6.387155718	6.235740318	6.097721665	6.171927354	6.842815639	6.869914089	6.54689446	7.110613806	7.071462363	6.499845887	6.350497247	6.54689446	6.499845887	7.238910582	6.298291731	6.303780748	6.368069877	6.841721581	5.852997588	6.515699838	6.141596278	6.980710829	6.493455201	7.407692649	6.310282363	6.761551232	5.937815169	6.229556235	6.904484098	6.294620749	6.971543554	6.354028938	6.365773593	6.731997787
UFL1	6.404290064	6.370081968	6.207502459	7.10709541	6.215290306	6.839203788	6.992088609	6.64269142	6.79266915	6.762201054	7.24762721	6.579875271	6.264911693	7.059614856	6.678071905	6.607330314	6.929554316	6.587964989	6.736063628	6.590961241	7.131342539	6.716466212	6.002252452	6.917609735	6.087462841	6.645298164	7.404290064	7.245077275	6.837943242	7.031260584	8.135965742	6.583154807	6.414473836	6.944858446	7.000318906	6.905006706	6.566529012	6.651051691	6.636624621	7.9795681	6.94016675	6.595628748	6.580520176	6.840562228	6.213347282	7.283551423	6.430780543	6.817623258	6.490281907	6.977279923	6.755835914	6.62058641	6.874919104	7.647458426	6.665335917	7.129283017	6.846744023	7.016808288	6.240988113	6.708109857	6.477353527	6.672425342	6.625215121	5.569855608	6.798368693	6.62935662	6.704595348	6.760220946	6.563385974	5.840463234	6.447065745	7.365447589	7.235272175	6.915281866	7.010749323	7.036723106	6.701826258	6.373300197	6.878993695	6.375039431	7.099726228	6.348980118	6.257387843	6.741083478	6.927185358	5.892391026	6.653919873	6.126688028	4.711494907	6.791006617	7.092757141	6.276124405	6.6848514	5.649615459	6.645171097	6.478971805	6.67143511	6.61176256	6.622051819	6.602276301	6.561927822
SYRC	6.14974712	6.462706751	6.385431037	5.686500527	4.523561956	7.21916852	6.669593751	6.6395216	6.23457796	6.068240861	6.633721813	6.167919866	6.289096702	7.40571707	6.665335917	6.610286657	6.703211467	6.633721813	7.525912261	6.23457796	6.95419631	6.886306263	6.359310317	6.816343705	6.474111514	6.501439145	7.169925001	6.904484098	6.773468928	6.840463234	6.465974465	6.346956889	6.747616606	6.493455201	7.217230716	7.263973355	6.348728154	5.909293086	6.560714954	6.621950757	5.961160258	6.431288654	6.173926932	6.704595348	6.557655155	7.45779126	6.392317423	6.632268215	6.059614856	6.969242604	6.44625623	6.314696526	6.984133595	7.346070441	6.581953751	6.847996907	7.142617655	6.813781191	6.553053253	7.023477152	6.745506266	7.045486656	6.602884409	6.169925001	7.130313146	6.974988112	6.794415866	6.626439137	6.330916878	5.935459748	6.461070114	7.085339669	6.649615459	7.093813673	6.705977902	6.752213368	6.731997787	6.350497247	7.00337736	6.404290064	7.602884409	6.388878339	6.255500733	6.320123598	6.721099189	6.619119511	6.966937979	6.820178962	6.303780748	6.74281467	7.77807713	6.417852515	7.126188211	5.867896464	6.571373436	6.787902559	6.957682486	7.306517445	6.298291731	6.740118043	7.050936965
PODXL	6.46350953	5.869462962	6.598424761	7.514711742	4.169925001	6.682292371	4.935459748	6.861356318	6.581572792	6.056260601	6.154804968	6.166814971	5.951867504	6.249824549	6.994353437	7.148730779	6.526694846	6.204589149	6.598424761	7.109790705	5.560714954	6.800933569	6.700439718	6.663493642	6.765534746	6.193771743	7.047669251	6.696272084	6.30560579	7.116139071	7.269594252	6.686500527	6.226893814	6.177917792	7.310720678	5.810881512	7.517668709	5.719731057	6.638073837	6.263034406	6.300123725	6.252337319	6.731975266	4.632268215	8.348285542	6.730639956	7.478165788	6.770829046	5.552854361	6.244125943	6.418434344	6.648177796	6.90456207	6.020146573	6.472487771	8.256916297	6.551516018	5.977279923	5.781359714	5.909293086	7.361066489	6.793115555	6.563136891	6.100136671	7.138662193	7.159871337	5.87774425	7.227856573	6.722216944	6.469234794	6.941368407	7.059614856	6.6283615	6.741466986	6.246027981	6.675251386	6.972692654	7.393175914	7.104715811	5.692092375	6.975004145	6.703327205	6.882643049	6.773061741	6.64385619	4.578938713	7.343407822	6.712870868	5.022367813	6.641209531	6.167919866	6.483815777	6.128664347	6.223036338	7.017996776	5.741466986	6.423505181	5.914086097	7.138801299	7.330583694	5.822730148
LKHA4	5.247927513	6.001699242	5.646738698	7.050936965	6.161887682	7.05853297	7.229780167	5.776360876	6.137991811	6.035541836	6.686671382	6.321928095	5.582367845	8.310612782	6.163443658	6.283551423	6.559185866	6.933100475	7.868172842	5.62058641	7.129283017	6.097794863	6.857980995	7.108524457	5.632268215	6.584962501	7.506208389	6.733354341	7.10404272	6.953032377	6.167919866	5.725195817	6.733354341	6.226779911	6.354028938	6.643822496	5.371558863	6.393955457	6.011227255	5.14974712	6.490249211	6.760220946	5.750178131	6.846744023	6.2168099	8.29186137	6.107879993	6.076815597	7.485426827	7.141596278	5.99095486	5.554588852	6.555835098	7.283353849	7.263034406	6.345183447	6.808642468	6.390598906	6.369815424	6.74281467	5.678071905	6.824004051	6.690696444	6.944858446	7.546122759	6.968823461	6.676662335	6.475338538	5.925469875	6.201633861	5.52340541	6.687900522	6.243006476	6.605849867	6.649615459	6.077236538	6.006746832	5.69105505	5.965710597	7.437127844	7.232463182	6.165911939	5.456149035	6.373300197	6.581953751	6.083213368	6.114783447	7.204571144	6.14974712	6.795559135	8.150255021	5.514458132	7.022531642	6.701826258	5.979004618	7.499048598	6.344209695	8.357112092	6.129283017	6.043785884	6.28169825
NF2L2	4.472487771	5.100136671	5.165911939	4.247927513	8.425006041	5.797012978	7.293701542	6.5360529	9.705632387	6.943686952	5.705977902	7.61176256	4.809766403	6.429615964	5.439623138	5.217230716	6.461070114	6.14363831	5.974988112	8.354469792	7.903279342	5.125155131	7.844862656	6.085339669	4.857980995	5.339850003	4.867896464	5	6.663520003	5.26710872	4.523561956	6.896591218	4.837943242	7.559348604	6.359698532	6.197708158	7.354910512	5.036110262	6.070389328	5.346956889	8.128252152	6.354028938	6.429615964	4.474764187	7.605109074	4.857980995	4.87282876	5.587964989	6.227552678	3.972692654	5.757556689	4.012688119	0.584962501	5.88632075	1.722466024	1.263034406	3.973322272	1.432959407	7.43835397	7.334738083	3.056006739	1.432959407	6.478270191	5.560714954	7.904084743	6.314696526	2.744161096	2.432959407	1.847996907	2.459431619	1.678071905	0.263034406	2.201633861	4.333287718	1.865180066	5.835124061	3.823720268	-0.152003093	2.232660757	6.998872454	5.240314329	3.234415921	9.718019065	6.454261204	4.921245889	6.700439718	2.887525271	5.760220946	7.746178381	8.958842675	5.985358546	7.025492987	6.914086097	6.06608919	6.723831566	4.529820947	6.474111514	4.655351829	6.569855608	2.970075676	6.22881869
SF3B2	6.738118564	6.091699834	6.928370323	6.553053253	5.040015679	7.337175869	6.385431037	5.385431037	6.215290306	6.397460726	6.439623138	6.785288981	6.195741293	7.677367292	7.010108453	6.366322214	6.867879733	6.241931065	7.575917361	6.381944424	6.656782364	6.195194698	5.837943242	7.30560579	6.776815011	6.947198584	6.995484519	7.214319121	6.854825061	6.387155718	6.584962501	6.395748328	6.087462841	6.456369772	6.004501392	6.48703608	6.970393538	6.284363719	6.059614856	5.361066489	5.958842675	6.512542955	6.93648048	6.444600814	6.383704292	6.726898766	6.36947132	6.883865155	4.548436625	7.258330473	6.348728154	6.283551423	6.816343705	7.260850273	6.044394119	7.140574178	7.092757141	6.584962501	6.592457037	6.733354341	6.745506266	6.708739041	6.772149591	6.330138528	7.220136447	7.063934306	6.559185866	6.316507819	6.262325877	5.765534746	6.189824559	6.841721581	6.930109547	6.900866808	7.114783447	6.124949215	6.318316841	6.539158811	6.411087227	6.029501452	6.704595348	6.478971805	6.791923226	6.930737338	6.431288654	5.314696526	6.483815777	7.074676686	3.700439718	5.523561956	7.381975479	6.988684687	6.501439145	6.569616718	6.627546123	5.757556689	6.301953395	7.298291731	6.542943496	6.556952134	5.921245889
DX39A	6.076815597	6.832082528	6.860466259	6.62935662	7.238988659	7.182890893	7.062855655	6.650701933	6.905719799	6.696577324	7.385484344	6.682292371	6.900866808	6.960001932	7.521992956	7.432959407	7.00337736	6.699051844	7.292781749	6.45779126	6.776103988	6.854880229	7.208478242	6.613236955	6.223036338	6.842978832	7.131342539	7.200653436	7.00337736	7.447083226	6.753551055	7.802839441	7.100136671	6.909293086	7.983563697	7.098032083	6.369815424	6.906890596	6.820178962	7.015693807	7.186857067	6.83541884	6.528297918	7.340740281	6.99095486	7.385431037	7.257782931	6.723831566	7.399171094	7.167919866	6.261154673	6.730639956	7.371558863	7.144658243	7.514911265	6.773468928	6.756222713	6.896029603	7.609548139	7.834154981	6.799605422	7.114783447	7.230741003	6.336283388	7.549207089	7.136478518	7.425425735	6.934280594	6.792849843	6.556122818	7.225930411	6.829088444	6.788415276	7.032321287	6.984133595	7.205548911	6.760220946	6.726558779	7.28077077	6.955359305	7.15963021	6.491853096	6.242221395	6.921245889	7.161222819	6.427941333	7.383704292	6.75087444	7.577428828	7.726558779	8.332707934	7.346956889	7.619853147	7.384566395	6.981808006	6.842978832	7.433794059	7.275193334	6.87282876	6.882091585	6.387155718
NDUA8	6.64096791	6.516723785	6.891769873	6.673777582	6.428672931	6.87774425	6.329123596	6.560309061	6.44039936	6.465026698	6.764898688	6.425256628	6.504620392	7.22881869	6.357552005	6.697034922	6.691955306	6.58345891	7.129283017	7.163901214	6.62497818	6.818901676	6.850499414	6.323675141	6.623840584	6.405989631	7.029613147	6.772666317	6.578938713	7.174925683	6.423077307	6.421223299	6.781359714	6.230741003	7.099084761	6.632268215	6.746451535	6.175923742	6.744161096	6.336283388	6.481734585	6.43027593	6.364572432	6.061776198	6.75087444	6.981837789	7.040015679	7.161887682	5.830356747	6.826548487	6.516107142	6.362820526	6.802193217	6.996614715	6.783980414	6.915281866	6.820178962	7.23935985	6.464341533	6.705977902	6.548436625	6.863601839	6.399171094	6.429844507	6.824004051	7.062855655	6.65141235	6.563768278	6.496654083	5.517275693	6.402585758	6.915281866	6.543805176	6.749547112	7.126188211	6.998872454	6.357552005	6.658211483	6.733354341	6.519620015	6.993426315	6.726558779	6.893517029	6.341630009	6.499312388	5.399171094	6.966937979	6.501439145	5.964704395	7.899659026	7.355791547	6.696272084	6.619119511	6.519076665	6.786596362	6.771274596	6.461070114	7.073502066	7.047669251	6.589463893	6.318316841
LTOR1	6.411087227	6.106432078	5.965784285	5.129283017	6.622648363	6.968090752	5.388878339	6.388878339	5.944858446	6.659639187	7.164906927	5.070389328	6.294620749	7.478971805	7.086401646	7.998872454	6.712870868	6.574404309	7.634448062	6.447909749	6.780047576	6.029011087	6.622812579	6.900866808	6.355791547	5.935459748	6.532940288	6.437960088	7.232660757	6.949534933	6.268658955	6.633721813	6.551516018	6.671010241	6.909293086	6.928370323	5.727920455	6.409390936	6.451211112	5.94016675	6.678071905	6.62935662	6.376776572	7.031218731	6.534497434	6.409390936	5.894817763	6.512542955	5.442943496	6.554588852	5.523561956	6.892391026	6.891176125	7.514911265	6.752291197	6.765534746	6.776103988	6.54225805	6.857980995	7.037821465	6.651051691	7.055282436	6.442943496	5.683696454	7.165911939	6.77478706	6.699051844	6.498250868	6.521992956	5.666756592	6.292781749	6.499845887	6.40599236	6.412781525	7.354028938	7.076815597	6.512542955	6.708739041	6.503030646	5.82527683	6.892391026	6.701826258	6.074676686	6.383704292	6.360449239	5.325530332	6.539158811	6.727556628	5.432959407	7.725877459	7.074676686	7.082149041	6.432959407	6.254137193	6.581953751	6.268658955	6.499845887	6.593951284	6.595443985	5.66106548	6.672482589
TIM9	7.078951341	6.371558863	6.62935662	7.138527801	5.141596278	6.503030646	5.942514505	6.400879436	6.131342539	6.409390936	6.675251386	6.607330314	6.10433666	6.916538574	6.731997787	6.192424167	6.768399095	6.259272487	6.984133595	6.399171094	6.498250868	5.757556689	6.323730338	6.829088444	6.279127498	6.886938847	6.902354722	6.912851426	6.659740274	7.204571144	6.641119825	6.46760555	6.189498124	6.458825364	6.74281467	6.052603603	6.203592714	6.166978831	6.593951284	5.992696397	6.148046363	6.159871337	6.264911693	6.055282436	6.098032083	6.487309139	6.211401637	6.38024459	4.343407822	6.183883459	5.894817763	5.303780748	6.608055506	7.049868246	5.850499414	7.180903709	7.001126665	7.787902559	6.089582893	6.599912842	6.251719093	6.574243646	6.804776378	5.96552838	7.040015679	6.98982022	6.207363562	6.613236955	6.381975479	6.033423002	6.10098689	7.137503524	6.303780748	6.723083116	7.126188211	6.301861198	6.203592714	6.336283388	6.320425914	6.086922642	6.147713722	6.821455119	7.019769215	6.114783447	6.397460726	5.173926932	5.778734244	6.217230716	5.815467762	6.732541716	6.899659026	5.314696526	7.130285545	5.205548911	6.569855608	7.219358644	6.532291089	7.024585638	5.781359714	6.849248703	6.307428525
MANF	6.139551352	5.895453708	6.578938713	6.62935662	5.944858446	7.450386479	6.022367813	6.34963685	6.482924096	6.709557258	6.87786428	6.700439718	6.159871337	6.933100475	6.859224162	6.037821465	6.62497818	6.14974712	7.036723106	6.321928095	6.100136671	5.925999419	6.371558863	7.407692649	6.338067798	6.301953395	6.630813152	7.24697806	6.350497247	6.797012978	5.022367813	6.38024459	6.287250643	5.635173947	7.146695948	6.491853096	6.061776198	6.411087227	6.255500733	7.930145948	6.253611152	6.017921908	5.970393538	6.369815424	6.029011087	6.470862199	5.986410935	6.768184325	5.442943496	6.623515741	5.845490051	5.977279923	6.900866808	6.806066226	5.465974465	6.807354922	6.745506266	7.399171094	5.875288598	6.323730338	6.031218731	6.203592714	6.616181231	5.469234794	7.338067798	7.247927513	6.242221395	6.915281866	6.361066489	5.635173947	6	6.411087227	6.314696526	6.402585758	6.633721813	6.427941333	6.773468928	6.592457037	6.58044702	5.880195729	7.023654639	5.459431619	6.414473836	6.321928095	6.765534746	4.87282876	6.205548911	6.951867504	5.614709844	7.394033895	7.677367292	6.699051844	6.578938713	5.683696454	6.442943496	6.840463234	6.66106548	6.933100475	6.114783447	6.8899602	6.287250643
TM205	6.776103988	6.198670784	6.951867504	7.148730779	5.189824559	7.043300754	6.325530332	6.641884092	6.151922315	6.014057867	6.69238461	6.888743249	6.118941073	7.278501368	6.309248961	6.03562391	6.808950388	7.089582893	7.66035251	6.402585758	7.46515823	6.59945538	6.311067102	6.355791547	6.399925437	5.942514505	7.519636253	6.905687849	7.390598906	7.037821465	6.169925001	6.277497089	6.439623641	5.44625623	7.355791547	7.430452552	6.352264173	5.87774425	6.307428525	6.505056567	5.752213368	6.0725346	6.628077073	6.461955051	6.475733431	7.062106948	6.380449125	6.802193217	6.348728154	6.786596362	6.026800059	5.9795681	7.307428525	7.976134473	6.575917361	7.137503524	6.581953751	7.361066489	6.565921121	6.635429312	6.397460726	7.278914019	6.151777655	5.935959365	7.364572432	7.296457407	6.026800059	5.997744026	6.251274043	5.956521363	6.572889668	7.125155131	6.457479145	6.874059203	7.112817918	6.569855608	6.277984747	6.057450272	6.659639187	6.680091742	7.245469896	6.892391026	6.484184047	6.163901214	6.48058827	4.371558863	6.414473836	6.266786541	5.386889315	5.240314329	7.416822703	7.106432078	6.472487771	5.112700133	6.548683444	6.558935213	6.112700133	7.139551352	6.653919873	6.688968354	6.607330314
NB5R1	6.424586226	6.592228374	6.802193217	6.82988758	5.760429335	6.388878339	5.899659026	6.29195255	6.35125103	6.439304101	6.620427968	6.758543307	5.686500527	7.020146573	6.449561375	6.478971805	6.725195817	6.366322214	7.664625055	6.846744023	7.196725061	6.442943496	6.017921908	6.570257534	6.961160258	6.361066489	7.006746832	6.715618859	6.653919873	7.309248961	6.888743249	6.839203788	6.059614856	6.112700133	7.318316841	7.020146573	6.782423178	5.972692654	6.791814071	5.578938713	6.886306263	6.377291391	6.712870868	6.955359305	6.956521363	7.040015679	6.464341533	6.908092341	5.911691582	6.5360529	6.298082142	6.601399391	7.237448996	7.529820947	6.752213368	7.263034406	6.292781749	6.402585758	6.311067102	6.518849829	6.359310317	6.812498225	5.963474124	7.358431429	7.071462363	7.390598906	6.272396509	6.757556689	6.277984747	5.459431619	6.30560579	7.6043679	6.902073579	6.809928866	7.605849867	6.687900522	6.400879436	7.118941073	6.38024459	6.029011087	6.849422838	6.726558779	6.560714954	6.646738698	6.367208673	4.837943242	5.770829046	6.087462841	6.215290306	5.958842675	7.74819285	6.87897051	6.762880293	6.451599748	6.680886921	6.847996907	6.43629512	7.217230716	6.722466024	6.864186145	6.683696454
IF2G	5.984133595	6.114783447	6.12722055	6.521518712	6.495055528	6.715182402	7.05853297	6.300123725	6.490249211	6.766860144	6.649615459	6.135109801	6.495164463	8.002252452	6.318316841	6.252170525	6.422905743	6.811214118	7.423746229	6.102238194	7.016808288	7.208768817	6.226893814	6.621770761	6.40599236	6.461060422	6.746720998	6.526854369	6.804776378	7.132371199	6.958277433	6.442486306	7.184875343	5.783980414	6.462706751	6.860466259	6.5853017	5.827819025	6.646701526	6.279842694	6.542911105	6.627151742	6.635265265	7.267138111	6.283551423	7.020146573	6.576494595	6.818901676	6.290940402	6.21916852	6.374094927	5.683696454	6.876516947	5.855491443	7.908692838	6.757556689	6.961160258	6.711494907	6.733288155	6.742904063	6.510961919	7.185561428	6.859224162	6.03562391	7.060695932	6.754887502	7.279887855	6.715618859	6.421161219	6.336283388	6.314696526	6.439623138	6.698974269	6.748442615	6.630575762	7.73809226	6.708739041	6.866660751	6.563768278	6.0725346	6.442943496	6.95070169	6.294620749	6.46760555	6.392317423	7.659639187	7.727920455	6.409390936	7.138459573	5.108524457	6.715618859	6.559800194	6.557655155	6.559185866	6.607734574	7.006249465	5.789207575	6.636624621	6.921245889	6.539259141	6.837943242
AA2BR	6.859224162	7.284477118	6.968090752	6.827819025	5.332707934	6.782845108	6.463900404	7.579693063	5.649615459	6.622051819	6.986410935	7.243173983	6.795715007	6.87312117	5.757556689	5.593951284	6.549051086	6.238404739	7.00337736	6.167919866	6.509425355	6.379971487	5.99095486	6.290940402	6.221084107	7.581953751	6.830356747	6.50779464	6.465974465	7.282625134	5.672425342	6.320123598	6.301412403	6.439623138	6.758889433	6.006746832	6.193771743	5.336283388	6.594755372	5.846334787	5.599912842	6.461070114	6.345535813	6.523561956	6.416164165	6.810618396	6.17074574	6.696662043	5.116863758	5.799605422	5.590961241	6.232660757	5.906890596	5.993221467	5.921245889	6.774612784	7.8008999	6.811040195	6.584962501	6.311067102	6.560714954	6.693486957	7.088523257	6.023902182	6.82527683	6.112700133	5.972692654	6.504620392	6.335019963	6.179055231	6.207502459	7.144195309	6.167135816	6.761551232	6.731997787	6.298291731	6.503030646	6.645298164	7.007868243	6.222563017	6.578938713	6.330916878	7.516937867	6.12722055	6.17990909	5.270528942	6.263034406	6.09246865	5.01346226	4.329123596	6.821164992	5.727920455	6.64385619	5.070389328	6.283305058	6.737416366	6.752213368	7.413627929	6.055282436	6.514962667	6.531689691
AGO1	6.141428932	6.078816755	6.213347282	6.780047576	5.213347282	7.048759312	6.123086751	6.760179611	6.271063087	6.592325411	6.866982492	6.534497434	5.510961919	7.364572432	6.671010241	6.666756592	6.432847041	6.355930643	7.020146573	6.390423754	6.694880193	6.312882955	5.839581181	6.070389328	6.451576396	6.517275693	7.176921112	6.980710829	6.911691582	6.548436625	6.812498225	6.439623138	6.797012978	6.316507819	8.754553506	6.341241852	6.033423002	5.845490051	6.658211483	6.565292521	5.875288598	6.251719093	6.9795681	6.563768278	6.866660751	7.181638482	6.87774425	6.556122818	5.749534268	6.506208389	6.165911939	5.719731057	6.828694045	6.99095486	6.544503222	7.29186137	6.613236955	6.738767837	7.044394119	6.525129251	6.175923742	6.330916878	6.630813152	6.265523594	6.545350645	6.673839056	6.175923742	6.345183447	6.205548911	6.509379149	6.573649893	7.036723106	6.938991439	6.997744026	6.666756592	6.30560579	6.022367813	6.719731057	6.274529025	6.691373793	6.148137724	6.809928866	6.216566128	6.824004051	6.361066489	6.390598906	6.581953751	6.447909749	3.935459748	6.451124754	6.581953751	5.311067102	6.366581102	7.094869433	6.394033895	6.217230716	6.045851803	6.123086751	6.32063505	6.427941333	6.301953395
DMB	5.840463234	5.83541884	6.94016675	6.671252566	5.744161096	7.085339669	6.846744023	5.925999419	6.756222713	6.312882955	6.812498225	6.407804149	6.116863758	7.662490364	6.944858446	6.029011087	6.754439915	6.874059203	7.227856573	6.187846909	6.880195729	6.520422249	6.529820947	6.576046223	6.373829662	6.575917361	6.131342539	6.73470962	6.610286657	7.178913785	6.343407822	5.526694846	6.147713722	6.121015401	7.440453944	6.557655155	6.807047459	5.757556689	7.026800059	5.321928095	6.477353527	6.047177423	6.787902559	6.515699838	6.987548259	6.741043681	6.619119511	7.165911939	5.201633861	6.563768278	6.285670631	6.277984747	7.374170076	7.114783447	6.070389328	7.355791547	6.86913112	6.707359132	6.193771743	6.769507291	6.268658955	6.431288654	6.518849829	6.331245577	7.084276911	6.961160258	5.711494907	6.523561956	6.290940402	5.789207575	6.431288654	6.54225805	6.719731057	6.439623138	7.182890893	6.518849829	6.454504938	6.238404739	6.061776198	6.389375874	7.107478647	6.578938713	6.36616293	6.942514505	6.336283388	5.112700133	6.685099172	6.499845887	5.578938713	7.054197294	7.17292749	6.369815424	6.752213368	5.217230716	6.701826258	7.01346226	6.638073837	6.888743249	6.43629512	6.731997787	6.341630009
ELOB	6.528258743	6.539158811	6.495055528	6.533617719	5.799605422	7.162894799	6.607330314	6.537606691	6.64385619	7.222070355	6.782670659	6.81040908	6.223036338	7.00337736	6.45779126	5.697662633	6.685099172	6.439623138	6.395748328	6.593951284	6.551516018	7.121015401	6.559185866	7.030541224	6.059614856	6.595443985	6.831623937	6.73470962	6.762880293	6.681605213	6.411087227	6.44625623	7.547665748	6.58044702	6.489388529	6.849248703	6.796348807	6.465974465	6.509379149	5.882643049	7.231701199	6.889432757	6.392317423	6.283551423	7.45779126	7.008988783	6.320123598	6.837943242	7.005589214	7.481914775	6.587027631	5.786596362	6.431288654	7.394891366	7.354028938	6.809928866	6.723831566	6.984133595	6.215290306	6.504620392	6.350497247	7.362820526	6.734850346	6.301953395	6.692885837	6.893604905	7.802193217	6.857980995	7.146695948	6.412781525	6.434628228	6.566815154	6.316507819	6.669593751	6.244125943	6.782670659	6.526694846	7.230741003	6.703211467	6.930737338	6.721099189	6.544850382	6.173926932	6.683537453	6.515699838	6.198770686	6.184092892	6.673839056	5.965784285	7.478162893	6.789207575	6.521992956	6.652486495	7.741466986	6.572889668	6.171927354	6.783980414	6.95419631	6.257387843	6.559185866	6.857980995
RL35	6.873796797	6.348728154	6.268658955	6.86913112	7.360672086	6.655351829	7.452035274	7.381975479	6.255500733	6.904484098	6.598424761	6.789207575	5.82527683	6.946700096	6.238404739	7.168922782	6.465974465	6.740152119	7.209453366	6.826184026	7.05202456	7.336283388	7.17990909	6.622051819	6.509379149	6.587964989	6.694880193	6.451211112	7.21042783	6.64096791	6.727920455	6.676718974	6.767531489	7.183883459	6.676662335	6.62058641	6.10433666	7.090641752	6.311067102	6.831275973	6.482202926	6.263034406	6.62058641	6.752381585	6.098032083	6.556122818	6.806066226	6.906890596	6.526694846	6.361066489	6.30560579	6.571373436	6.093813673	7.217230716	7.500642736	6.914086097	6.332707934	6.746850183	6.611685622	6.630853848	6.503030646	6.151777655	6.584962501	5.947198584	6.369815424	6.666756592	6.341630009	6.085339669	6.745506266	6.778734244	6.264911693	6.852997588	6.982993575	6.602884409	6.541189924	7.189824559	6.437960088	6.334496768	6.586464526	5.906890596	7.224966365	6.840463234	6.504620392	6.483815777	6.834865646	7.648896806	6.783980414	6.58044702	7.288173968	7.124121312	7.376776572	6.515699838	6.526694846	6.46295366	7.204571144	6.75087444	6.817623258	6.51412226	6.547927445	6.87036472	6.532940288
