	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N138A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N192A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N224A	N226A	N228A	N229A	N230A	N232A	N233A	N234A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N254A	N255A	N257A	N260A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A	N153AA
OMD	6.885086225	6.303780748	6.736063628	6.177917792	4.336283388	5.885086225	6.362820526	6.211401637	6.572889668	7.637349411	5.906890596	3.837943242	6.837943242	6.063934306	5.773468928	6.794415866	6.733354341	5.738767837	5.569855608	5.339850003	7.148730779	6.540709263	6.226893814	5.768184325	8.336729697	6.354028938	5.66106548	5.730639956	5.181897643	5.655351829	6.268658955	5.986410935	6.498250868	4.655351829	4.689299161	6.708739041	6.883865155	6.793115555	5.357552005	7.328226119	6.847996907	7.339850003	5.478971805	6.892391026	5.51412226	6.529820947	7.417008587	5.385431037	4.733354341	7.116863758	6.540709263	5.885086225	6.232660757	7.161887682	5.554588852	5.974988112	5.933100475	6.21916852	5.62935662	4.949534933	5.465974465	5.43629512	6.397460726	5.807354922	5.947198584	5.789207575	6.0725346	6.716990894	6.452858965	6.859224162	5.638073837	6.766860144	7.770829046	6.191799501	5.791814071	5.857980995	4.459431619	6.183883459	6.22881869	7.787249608	5.584962501	5.181897643	5.99095486	6.017921908	5.501439145	6.694880193	4.902073579	5.930737338	5.031218731	5.442943496	6.338067798	7.030115331	7.869748051	4.986410935	5.532940288	5.99095486	5.266786541	6.081083929	5.121015401	5.240314329	6.345183447	7.041111535	6.844234988	5.62935662	7.935459748
OSTP	6.283551423	4.452858965	7.025693274	6.409390936	6.66106548	4.727920455	8.314243347	6.076815597	3.321928095	8.106432078	3.153805336	3.498250868	6.529820947	7.241268177	5.689299161	6.259272487	9.006466343	2.807354922	7.616916363	5.705977902	8.288635409	8.029563314	4.224966365	5.137503524	9.494055532	2.584962501	7.776762002	3.700439718	4.10433666	8.436711542	9.0558247	3.963474124	9.045759661	5.177917792	5.255500733	8.347842794	7.141596278	4.255500733	8.737416366	6.714245518	9.063395081	7.290940402	3.584962501	7.14363831	5.722466024	6.968090752	7.353146825	4.852997588	3.121015401	8.023477152	5.99095486	5.314696526	6.161887682	7.354028938	4	6.841721581	0.378511623	5.51412226	8.078417702	3.5360529	6.593951284	2.847996907	2.510961919	7.311975314	2.378511623	6.616181231	5.311067102	5.478971805	4.03562391	7.555356039	5.680886921	8.09434165	6.935459748	5.599912842	5.923624611	5.224966365	6.325530332	4.817623258	6.434628228	6.918863237	2.827819025	4.385431037	5.892391026	7.746850183	1.925999419	7.518849829	3.5360529	4.472487771	6.503030646	7.139551352	5.247927513	6.783980414	10.31197531	4.201633861	5.263034406	9.138015753	4.177917792	6.177917792	4.711494907	6.191799501	4.343407822	7.982993575	6.044394119	3.336283388	3.963474124
POSTN	5.10433666	6.246027981	6.696272084	7.152791852	4.995484519	6.221103725	7.057450272	5.626439137	4.485426827	7.721782768	4.300123725	5.666756592	6.855491443	4.822730148	7.468420402	5.658211483	6.663913842	7.656067274	6.361066489	6.121015401	5.449561375	7.196725061	5.857980995	6.995484519	6.139551352	5.40599236	6.181897643	6.06608919	7.186857067	6.276124405	5.675251386	5.791814071	5.986410935	7.06608919	4.504620392	7.598424761	6.678071905	5.66106548	4.791814071	5.563768278	6.151777655	6.58044702	5.852997588	7.088523257	7.415319248	6.022367813	5.970393538	4.765534746	7.265849421	6.62497818	6.12722055	6.296457407	6.037821465	5.974988112	7.532161085	7.156841525	7.356672044	6.904484098	5.649615459	6.100136671	5.988684687	6.776103988	5.776103988	5.64096791	6.30560579	6.903279342	5.840463234	6.903279342	5.078951341	7.315602457	5.845490051	6.409390936	6.645298164	5.608809243	6.116863758	6.378511623	6.091699834	6.213347282	6.791814071	7.0725346	7.150762744	5.778734244	7.582706527	6.21916852	5.545350645	6.392317423	4.517275693	4.716990894	6.290940402	4.733354341	3.817623258	6.008988783	6.619119511	6.888743249	7.575917361	6.063934306	6.011227255	5.566815154	7.946613905	7.247927513	7.236492618	6.655351829	6.62058641	5.860466259	5.773468928
PRDX1	6.482202926	7.024585638	6.175923742	6.633721813	5.244125943	6.559185866	6.865423978	7.05202456	7.444600814	6.352264173	6.026800059	7.417852515	7.126188211	6.255500733	7.883254231	5.623515741	5.504620392	7.170926525	7.034523875	7.324630615	6.638073837	7.235535607	6.736063628	7.225930411	5.880195729	6.590961241	6.697662633	6.359310317	7.398316163	5.655351829	6.560714954	6.998872454	6.675251386	6.789207575	6.795715007	6.044394119	6.399171094	7.025693274	6.008988783	6.50779464	6.223036338	6.123086751	6.888743249	6.417852515	8.09592442	6.004501392	6.756222713	6.949534933	6.949534933	5.5360529	7.110613806	6.465974465	7.200653436	7.673132372	7.73403214	6.474111514	7.546122759	6.48058827	6.616181231	6.520422249	6.327328083	7.111657346	6.920055055	6.338067798	7.461888664	6.733354341	6.292781749	6.601399391	6.490249211	4.911691582	6.289096702	6.294620749	6.725195817	6.294620749	6.75087444	7.044394119	6.953032377	6.668175869	6.345183447	6.06608919	6.388878339	6.506208389	7.277054876	6.17990909	6.354028938	6.490249211	7.011227255	5.259272487	6.402585758	6.915281866	5.03562391	7.261154673	5.465974465	8.155830172	6.266786541	6.217230716	5.432959407	5.485426827	6.8008999	6.817623258	8.055282436	6.059614856	6.510961919	6.531381461	6.123086751
PRDX2	6.387155718	7.798957748	6.236492618	7.755555262	6.860466259	6.343407822	7.544578117	7.483009577	9.478971805	6.10433666	4.255500733	6.085339669	6.329123596	6.896029603	6.504620392	4.649615459	6.605849867	6.207502459	7.732676223	4.770829046	7.845490051	8.704249502	6.213347282	7.818901676	7.114783447	5.95419631	6.839203788	5.247927513	8.334943631	5.8899602	7.347842794	8.857047916	6.378511623	6.880195729	7.139551352	5.981852653	6.213347282	7.30560579	8.760553633	9.032045727	6.982993575	6.456149035	7.698357406	7.442114122	6.956521363	5.498250868	6.687900522	8.748528321	9.372212109	6.187846909	7.912290583	7.569096095	7.246027981	6.474111514	7.592457037	5.837943242	6.930737338	5.482202926	6.956521363	7.323730338	6.404290064	8.884475819	6.6043679	6.663913842	6.44625623	6.904484098	6.290940402	6.283551423	6.642412773	4.504620392	6.791814071	5.121015401	5.070389328	6.187846909	6.399171094	6.501439145	8.06608919	6.64385619	6.465974465	7.031218731	7.274261661	7.816983623	6.955359305	6.675251386	5.94016675	6.395748328	8.977279923	6.962317655	7.497452696	9.350939182	7.279842694	9.170676209	5.364572432	6.407692649	5.602884409	6.483815777	7.041111535	6.498250868	5.465974465	7.529820947	6.394033895	6.409390936	6.133399125	6.376776572	5.462706751
PA2GA	7.52277767	5.965784285	8.025139562	5.311067102	6.251719093	6.131342539	7.46760555	5.375039431	7.502235115	6.935459748	6.173926932	6.053111336	7.311067102	3.655351829	4.572889668	5.984133595	6.263034406	6.839203788	6.14974712	6.636624621	4.087462841	4.925999419	6.678071905	4.548436625	6.076815597	4.842978832	6.822730148	5.652486495	6.063934306	6.316507819	5.646738698	7.581953751	4.44625623	6.462706751	5.259272487	8.584210901	5.965784285	5.762880293	4.336283388	5.14974712	8.118422024	6.110613806	6.972692654	6.966937979	5.078951341	5.832890014	6.794415866	6.316507819	6.135452784	8.938991439	5.5360529	6.209453366	6.482202926	6.745506266	6.817623258	6.259272487	5.683696454	7.482202926	7.476543706	7.543805176	6.253611152	6.09592442	7.372429792	6.797012978	7.023477152	5.809928866	5.87282876	5.022367813	6.451211112	7.358431429	6.506208389	7.118941073	6.173926932	6.727920455	7.178913785	6.06608919	7.67030217	5.587964989	6.089582893	7.912290583	7.656067274	4.626439137	4.99095486	5.749534268	7.948367232	6.773468928	3.336283388	5.329123596	5.422905743	5.255500733	4.602884409	3.897240426	7.081083929	5.727920455	6.465974465	7.201633861	4.857980995	6.348728154	4.62058641	5.725195817	2.847996907	5.50779464	7.873444113	5.545350645	6.820178962
PLTP	5.741446877	5.336283388	5.712408941	7.336977779	6.199438476	5.719731057	9.126188211	7.248876343	5.837943242	7.666756592	5.655701736	5.935459748	6.927185358	5.655351829	6.829088444	6.029336015	6.54689446	7.288173968	6.749534268	4.786596362	6.852802372	6.874059203	6.416164165	6.985272714	7.228189633	4.329123596	7.539158811	3.392317423	6.087462841	8.277984747	5.129283017	5.875288598	7.365508948	6.834154981	9.864031341	7.875902903	8.191306019	5.951867504	6.474111514	5.459431619	8.411510988	7.48058827	8.465974465	6.848869273	7.282625134	6.068240861	6.556122818	6.314696526	6.686782446	8.4325419	7.023477152	5.388878339	6.793115555	7.330020516	7.167919866	6.617651119	6.416164165	6.442943496	7.515131436	8.209453366	6.48703608	5.638073837	5.885086225	6.61176256	4.882643049	7.040015679	8.028458647	6.643277491	5.274261661	7.499048598	6.173926932	6.43629512	7.377644358	6.724774384	7.050936965	7.508587112	5.638073837	6.383704292	5.862947248	8.719388821	7.073606041	8.92421868	8.212861117	7.718361626	4.744161096	6.112700133	5.738767837	6.255500733	5.804776378	5.224966365	5.5360529	5.974988112	8.698704667	6.607330314	8.228337712	9.709428501	7.410834567	6.167919866	8.816983623	7.423545849	6.970393538	6.841721581	6.569124953	4.419538892	5.617651119
PEDF	6.381975479	6.86913112	4.949534933	6.568336182	6.924812504	6.276124405	5.581953751	6.577428828	4.548436625	7.153805336	6.917670434	7.478971805	6.557655155	6.827819025	6.223036338	8.025693274	6.864186145	7.388878339	6.223036338	6.549977143	6.183883459	6.037821465	7.014578465	6.964629667	6.341630009	8.31152128	6.592457037	7.776762002	6.441284272	6.733354341	5.545350645	6.859224162	6.414473836	6.318316841	4.459431619	6.388878339	6.195741293	6.87897051	5.596935142	7.084276911	6.38024459	6.332707934	6.074676686	7.195741293	6.348728154	6.871597266	6.826548487	6.163901214	5.602884409	5.669593751	6.787902559	7.650333754	5.596935142	5.909293086	6.259272487	7.293701542	6.808642468	6.307428525	6.221103725	5.554588852	7.139551352	6.213347282	6.76420813	5.545350645	6.121015401	6.834154981	5.995484519	7.368942914	7.575161033	7.974988112	6.451211112	7.343407822	7.752213368	6.373300197	6.697662633	6.553053253	6.6395216	7.905687849	7.244125943	5.933100475	6.5360529	6.799605422	6.264911693	6.586464526	5.675251386	6.461070114	4.626439137	5.812498225	6.64385619	5.06608919	5.193771743	5.459431619	5.10433666	6.102238194	6.520422249	6.0725346	6.020146573	5.865423978	5.266786541	6.247927513	5.031218731	6.997744026	5.807354922	7.885086225	6.601399391
KLKB1	5.614709844	6.371558863	7.433794059	6.537606691	7.092757141	7.928370323	6.818901676	7.273329387	7.130313146	6.040015679	7.085339669	8.784307667	6.652486495	7.36018867	6.517275693	6.392317423	6.995484519	6.048759312	7.060695932	6.100136671	7.059614856	6.345183447	7.323730338	6.824004051	5.897240426	6.285402219	6.74819285	6.601399391	6.416164165	7.121015401	6.412781525	7.026800059	6.50779464	6.685099172	7.781359714	6.424586226	7.050936965	6.672425342	7.150762744	6.678071905	6.992088609	6.776103988	7.615445725	6.376776572	6.44625623	7.098032083	6.867896464	7.715618859	6.692092375	7.720415285	6.882643049	6.517275693	6.532940288	6.17990909	6.316507819	7.159871337	6.279842694	6.605849867	6.61176256	7.195741293	6.543805176	6.815063017	6.937815169	7.666046429	6.40599236	6.247927513	7.23935985	6.865423978	7.45779126	7.189824559	6.925999419	6.649615459	7.426264755	6.587964989	6.866660751	6.83541884	7.486231678	7.454504938	6.031218731	7.005624549	6.803485376	8.410663341	6.434628228	7.005624549	5.972692654	6.87036472	7.549977143	7.237448996	7.060695932	6.439623138	7.772149591	7.106432078	6.215290306	6.226893814	7.123086751	7.366322214	6.368069877	6.327328083	6.669593751	6.512542955	5.993221467	6.592457037	6.46760555	6.753551055	6.06608919
IC1	6.465974465	7.83541884	3.827819025	7.197708158	7.874674032	7.911092332	7.936637939	6.908092341	6.861707287	5.8899602	7.046578367	7.645298164	6.226893814	7.277054876	6.87774425	6.777419716	6.020146573	6.729280846	6.590961241	5.646738698	6.201633861	6.203592714	8.414896604	7.766197597	5.963474124	6.963474124	6.046578367	6.981852653	5.666756592	6.633721813	6.321928095	6.64096791	6.968090752	6.969242604	6.777419716	5.822730148	7.425425735	8.002815016	5.933100475	6.548436625	6.836681593	6.669593751	7.337175869	7.031218731	6.091699834	6.791814071	7.114783447	8.52277767	6.378511623	6.662490364	6.951867504	7.014578465	7.01234519	5.902073579	6.411087227	6.766860144	6.74819285	6.296457407	6.424586226	6.230741003	5.880195729	6.320123598	7.36018867	6.862947248	6.006746832	5.669593751	7.159871337	7.259272487	7.070389328	7.383704292	6.598424761	6.665335917	6.855491443	6.762880293	5.977279923	6.207502459	6.953032377	7.045486656	6.966937979	5.532940288	7.171927354	7.515699838	6.651051691	6.266786541	5.485426827	6.441284272	6.10433666	7.376776572	6.601399391	7.154818109	7.010108453	8.071462363	5.523561956	6.046578367	5.799605422	7.365447589	7.196725061	6.215290306	6.957682486	6.921245889	7.417008587	6.623515741	7.547665748	6.95419631	6.441284272
IPSP	6.321928095	6.632268215	5.906378054	5.456149035	5.43629512	7.666046429	5.575917361	6.820178962	5.116863758	5.311067102	7.661778098	8.351822645	6.525129251	7.745506266	6.577428828	6.649877534	6.43629512	7.263034406	6.806066226	6.498250868	6.46760555	5.719731057	7.043300754	6.711494907	6.158156655	8.227856573	6.112700133	7.631540867	7.006746832	6.510961919	5.961160258	6.876516947	7.006746832	7.174925683	6.020146573	6.022367813	8.078951341	6.209453366	5.840463234	7.165911939	6.605849867	6.816343705	6.447909749	6.470862199	6.301953395	6.364572432	7.182890893	6.778734244	6.302181683	5.133399125	6.827958173	6.341630009	6.108524457	5.66106548	6.024585638	6.880195729	6.545350645	6.145677455	6.40599236	5.809928866	6.452858965	5.303780748	7.021257621	6.221103725	6.100136671	6.083213368	6.341630009	6.429615964	5.988684687	6.647357251	6.390598906	6.865423978	6.770829046	6.495055528	6.938991439	6.987548259	5.655351829	7.080018029	5.923624611	6.325530332	6.718361626	6.249824549	6.236492618	5.730639956	5.395748328	6.334496768	6.578938713	4.137503524	6.323730338	6.132274817	5.783980414	6.540709263	5.270528942	7.191799501	7.493455201	4.921245889	6.83154023	5.757556689	6.771341264	6.008988783	6.944858446	6.424586226	8.489446599	7.153805336	7.057450272
PLMN	5.091699834	5.669593751	6.189824559	5.804776378	8.099084761	5.855491443	7.087462841	8.038918989	5.566815154	6.307428525	5.850499414	5.94016675	5.923624611	6.575917361	5.205548911	6.545350645	8.207502459	5.285402219	7.241268177	5.442943496	6.985272714	6.318316841	6.651051691	6.318316841	6.529820947	5.678071905	6.540709263	5.270528942	5.988684687	6.876516947	7.256444596	7.864186145	6.699051844	6.078951341	7.289096702	6.332707934	7.875902903	5.83541884	9.508983185	6.799605422	6.880195729	6.307428525	7.469234794	6.01346226	5.465974465	6.927185358	6.242221395	8.144658243	6.48864354	7.962317655	7.575917361	7.54303182	6.381975479	6.948367232	6.263034406	6.6794801	5.623515741	6.417852515	7.132371199	6.14974712	6.718361626	8.761883612	5.781359714	7.347842794	6.289096702	5.741466986	7.429615964	6.121015401	7.612499946	7.208478242	6.95070169	6.083213368	6.189824559	7.029011087	6.592457037	7.224966365	7.486231678	7.701826258	6.560714954	6.822730148	6.852997588	7.898450233	7.55688919	6.264911693	5.469234794	6.806066226	9.638254887	8.55880334	7.902676587	9.380028083	8.943979914	5.62935662	6.8899602	6.135452784	7.222070355	7.216260837	7.378511623	6.312882955	7.054197294	6.821455119	5.266786541	7.014578465	6.381975479	6.276124405	5.855491443
CXCL7	6.189824559	8.622417939	7.613236955	7.14974712	9.084542674	7.033423002	6.974988112	6.972692654	6.469234794	6.397460726	5.378511623	5.776103988	6.253611152	7.673132372	6.485426827	6.83541884	7.562242424	5.332707934	6.390598906	6.147713722	7.227856573	7.11997861	6.100136671	5.918863237	7.664625055	5.887525271	7.265849421	6.966937979	6.74281467	7.986410935	6.359310317	6.165911939	8.334496768	8.577806447	6.147713722	5.28169825	6.470862199	5.736063628	7	7.993787563	7.112700133	7.032321287	6.718361626	7.126188211	5.762880293	6.153805336	5.646738698	6.557655155	7.175923742	5.949534933	6.06608919	6.417852515	5.608809243	6.031218731	6.504620392	5.725195817	5.548436625	6.343407822	6.99095486	5.66106548	6.321928095	6.181897643	6.442943496	6.087462841	6.28169825	6.669593751	7.508587112	6.276124405	5.923624611	5.557655155	6.74819285	6.74819285	6.341630009	5.754887502	5.82527683	5.730639956	5.694880193	6.366322214	6.469234794	6.933100475	8.472487771	9.508587112	6.749534268	6.294620749	6.207502459	6.329123596	7.359310317	5.972692654	6.910492832	8.388017285	5.169925001	7.045486656	6.813781191	5.255500733	6	6.712870868	7.571373436	6.672425342	5.350497247	6.253611152	5.244125943	6.663913842	7.548436625	5.807354922	5.714245518
PLF4	5.070389328	7.706668682	7.124121312	6.21916852	8.029563314	4.770829046	5.205548911	6.033423002	9.108785791	5.669593751	4.343407822	5.026800059	5.09592442	8.468827655	4.371558863	5.392317423	6.727920455	4.602884409	5.741466986	6.852997588	7.304693557	6.897240426	4.523561956	5.614709844	7.854868383	4.255500733	7.274261661	6.338067798	6.898450233	5.789207575	7.798309782	5.809928866	4.638073837	8.485426827	6.376776572	6.411087227	5.422905743	5.584962501	8.044940491	8.16138386	5.760220946	7.279842694	7.476543706	6.584962501	4.626439137	6.754887502	5.368069877	4.153805336	4.897240426	5.121015401	6.033423002	6.757556689	6.221103725	5.977279923	6.253611152	6.439623138	5.744161096	6.693486957	6.121015401	4.733354341	7.598424761	8.453682186	4.847996907	4.54225805	6.831623937	6.520422249	7.9795681	6.048759312	5.847996907	4.209453366	6.711494907	4.649615459	4.153805336	7.463524373	5.048759312	6.04220656	5.141596278	5.956521363	6.153805336	7.192785959	7.690696444	7.362820526	6.537606691	6.341630009	8.071462363	6.506208389	7.77016832	5.217230716	6.949534933	10.23098111	7.346070441	6.464341533	5.963474124	4.399171094	4.566815154	5.961160258	6.089582893	8.033973543	3.64385619	5.680886921	3.797012978	7.107478647	6.762880293	5.947198584	5.64096791
PTN	7.719046504	5.50779464	5.722466024	6.778734244	5.296457407	3.560714954	4.129283017	6.378511623	5.270528942	5.478971805	8.519243094	4.749534268	5.947198584	4.95419631	4.03562391	8.218199944	6.044394119	5.314696526	6.388878339	5.28169825	5.937815169	4.925999419	5.711494907	5.332707934	6.06608919	7.429615964	5.529820947	6.409404387	5.705977902	6.930038759	6.777419716	6.195741293	5.311067102	5.224711025	5.365393238	5.169925001	6.211401637	6.515699838	3.632268215	7.718361626	5.557655155	7.159430655	3.981852653	7.117902789	4.584962501	7.027905997	7.616916363	3.797012978	4.300123725	5.592059229	6.802193217	6.464341533	5.326458052	5.652486495	5.01346226	6.537606691	7.110613806	5.852997588	5.510961919	4.193771743	6.974988112	3.485426827	5.533645322	6.125155131	6.227716127	5.236118615	5.632268215	6.298291731	6.687900522	6.23457796	5.061776198	5.336283388	6.055282436	7.822730148	7.873444113	6.793158096	5.689299161	5.587964989	6.040015679	5.563768278	5.804684694	6.008988783	5.605589651	6.422905743	6.778755259	8.088523257	4.694508601	3.263034406	4.247927513	6.106432078	5.899659026	4.399171094	5.658211483	4.596935142	6.022367813	3.722466024	4.770829046	6.345183447	5.321928095	5.263034406	4.822730148	6.449561375	7.544578117	6.710117632	6.756222713
PXDC2	6.491853096	6.715618859	6.899659026	6.499845887	6.424586226	6.157852169	6.693486957	5.584962501	6.037821465	5.346956889	7.373300197	5.882643049	7.368069877	6.006746832	6.195741293	7.145677455	6.914086097	6.187846909	6.51412226	5.95419631	7.593951284	6.118941073	6.287250643	5.700439718	6.0725346	7.030115331	6.799605422	6.93302532	6.314696526	6.554272985	6.191799501	6.5360529	5.99095486	6.475733431	5.963474124	6.424586226	7.108524457	7.021257621	7.077883864	4.930737338	6.689299161	6.767293046	6.685099172	6.757556689	6.504620392	5.993221467	7.10433666	6.598424761	5.94016675	5.906890596	6.330916878	6.300123725	5.993221467	5.510961919	6.451211112	6.789207575	6.330916878	6.58044702	6.14363831	5.157852169	6.411087227	5.572889668	6.857456185	6.456149035	6.554822189	6.405624292	5.880195729	6.515699838	6.264911693	6.441284272	6.221103725	7.364572432	7.497452696	6.314696526	6.181897643	6.616181231	5.918863237	6.908092341	6.131342539	7.001126665	6.339850003	4.902073579	6.211401637	6.339850003	7.369598274	6.195741293	5.381975479	5.240314329	5.812498225	5.578938713	6.673839056	6.608809243	5.988684687	6.01346226	7.430452552	6.320123598	5.51412226	6.108524457	6.203592714	6.165911939	6.364572432	6.261154673	7.587964989	6.797012978	6.339850003
PCOC1	7.041111535	6.011227255	6.392317423	6.274261661	5.963474124	5	6.758889433	6.76420813	5.303780748	6.850499414	6.64385619	5.66106548	6.619119511	6.461070114	6.22881869	7.06608919	6.327328083	6.447909749	6.880195729	5.566815154	6.307428525	6.551516018	6.517275693	6.462706751	6.834154981	6.98982022	6.272396509	6.733354341	5.930737338	6.125155131	6.66106548	6.300123725	6.672425342	6.017921908	4.217230716	6.776103988	7.05202456	7.011227255	7.019034669	7.384567923	7.102238194	6.776103988	5.867896464	7.21916852	6.729280846	6.287250643	7.553821257	5.837943242	6.089582893	6.765534746	6.942514505	7.309248961	6.392317423	6.809928866	6.563768278	7.136478518	6.875288598	6.465974465	7.040015679	6.207502459	7.442943496	6.329123596	6.97384084	7.081083929	6.452858965	7.270528942	6.240314329	7.073606041	6.666756592	6.586464526	6.368069877	6.298291731	6.947198584	6.842978832	6.976134473	6.465974465	6.378511623	7.300123725	6.48864354	6.900866808	6.572889668	7.902676587	5.678071905	6.499845887	6.852997588	6.605849867	5.416164165	5.478971805	6.09592442	6.167919866	6.264911693	6.141596278	7.094869433	5.986410935	7.447083226	6.431288654	5.911691582	5.802193217	6.026800059	5.997744026	5.201633861	6.809928866	6.714245518	7.069315495	7.330020516
PRELP	6.314696526	8.155830172	7.584962501	7.43629512	4.968090752	5.937815169	5.930737338	7.113742166	6.733354341	6.632268215	5.61176256	7.461888664	7.578938713	7.77939106	6.525129251	6.298291731	6.87036472	5.961160258	5.904484098	5.569855608	6.525129251	5.361066489	5.692092375	5.786596362	6.110613806	5.392317423	6.050936965	5.247927513	5.655351829	7.163901214	6.157852169	5.749534268	5.520422249	5.752213368	4.03562391	6.205548911	6.277984747	5.375039431	4.523561956	8.461479447	7.036723106	7.014578465	5.669593751	6.700439718	5.845490051	8.799929151	6.183883459	4.649615459	5.498250868	7.04220656	6.078951341	5.87282876	5.752213368	6.334496768	5.554588852	6.794415866	6.191799501	6.163901214	6.215290306	6.015693807	6.04220656	5.730639956	5.842978832	5.842978832	5.177917792	6.953032377	6.244125943	5.51412226	5.911691582	5.638073837	6.813781191	5.87774425	6.549977143	6.221103725	5.820178962	5.48864354	5.741466986	6.211401637	5.770829046	6.48703608	5.675251386	5.781359714	5.217230716	6.417852515	6.861707287	6.429615964	5.040015679	5.318316841	6.061776198	5.773468928	4.786596362	8.422064766	6.74819285	5.422905743	5.949534933	5.708739041	5.364572432	6.341630009	5.053111336	5.680886921	4.916476644	6.452858965	6.795715007	6.309248961	6.137503524
LRP1	6.341630009	6.407692649	7.363696745	6.259272487	5.357552005	6.733354341	6.338067798	6.727920455	6.48058827	6.264911693	6.551516018	6.209453366	7.136478518	5.847996907	5.762880293	7.328226119	6.145677455	6.357552005	6.596935142	7.599168993	6.395748328	5.949534933	5.815063017	6.141596278	6.441284272	5.658211483	7.778734244	6.831623937	6.762880293	6.924812504	6.699051844	6.847996907	6.327328083	6.965784285	6.719731057	6.442943496	7.133399125	5.289096702	5.776103988	4.765534746	6.893604905	6.845490051	7.40173285	5.87282876	6.571373436	6.48864354	6.577428828	5.727920455	6.371558863	6.693486957	6.361066489	5.832890014	6.17990909	6.397460726	6.50779464	6.731997787	6.431288654	7.197708158	6.135452784	7.13442632	6.744161096	6.614709844	6.529820947	6.255500733	6.053111336	6.411087227	6.427941333	5.909293086	6.665335917	6.422905743	6.785288981	6.842978832	7.250772132	6.752213368	6.972692654	6.608809243	6.10433666	7.010108453	6.501439145	6.861707287	6.935459748	6.578938713	6.749534268	6.756222713	6.354028938	6.341630009	6.199672345	6.061776198	6.551516018	5.94016675	6.159871337	4.968090752	6.635173947	6.900866808	7.362820526	6.829088444	5.942514505	7.118941073	6.956521363	6.125155131	5.749534268	6.818901676	7.211401637	6.866660751	6.354028938
PROP	6.690696444	4.371558863	7.830356747	6.263034406	6.758889433	6.085339669	6.053111336	6.578938713	5.62935662	6.714245518	6.518849829	6.024585638	4.862947248	6.268658955	4.343407822	7.802193217	6.512542955	6.915281866	6.01346226	6.692092375	5.548436625	6.10433666	7	6.03562391	5.935459748	6.568336182	6.565292521	7.497452696	6.551516018	6.813781191	7.048759312	6.865423978	6.203592714	6.992088609	4.776103988	5.432959407	6.040015679	6.283551423	7.047669251	5.87774425	6.598424761	6.605849867	7.309248961	6.627898616	5.112700133	7.117902789	6.232660757	6.804776378	6.314696526	6.665335917	7.30103885	7.024585638	6.070389328	5.491853096	6.118941073	6.459431619	6.663913842	6.921245889	6.159871337	4.87774425	7.220136447	6.011227255	7.444600814	5.986410935	7.165911939	6.343407822	6.584962501	6.321928095	7.128252152	7.336283388	6.608809243	5.680886921	5.914086097	7.188836073	6.528258743	6.441284272	6.076815597	6.875288598	7.396604781	4.944858446	7.744161096	6.836681593	6.658211483	6.112700133	6.121015401	6.474111514	6.181897643	6.613236955	6.897240426	6.554588852	6.778734244	5.82527683	5.799605422	6.022367813	6.464341533	5.10433666	6.996614715	5.498250868	6.697662633	6.203592714	4.129283017	6.427941333	7.130313146	6.669593751	5.935459748
SAP	6.296457407	5	6.266786541	6.470862199	5.03562391	6.046578367	6.543805176	7.118941073	6.986410935	5.970393538	7.811856314	6.50779464	6.635173947	4.744161096	8.040563711	6.343407822	4.968090752	6.841721581	7.862947248	9.143128073	5.368069877	7.359310317	6.790511412	6.627898616	6.181897643	6.09592442	7.513332824	7.217230716	7.30833903	5.781359714	6.175923742	7.619853147	6.768184325	7.531381461	6.309248961	5.694880193	6.044394119	6.213347282	4.930737338	5.880195729	6.885086225	6.161887682	6.987548259	5.686500527	8.064473329	5.632268215	5.700439718	5.074676686	6.006746832	5.705977902	6.211401637	5.638073837	6.442943496	7.936637939	7.178913785	7.526694846	7.123086751	6.715618859	6.053111336	5.004501392	6.399171094	5.770829046	6.888743249	6.503030646	7.60659028	6	6.167919866	5.14974712	6.020146573	4.329123596	5.321928095	7.036723106	6.147713722	6.061776198	6.626439137	6.668175869	6.777419716	7.208478242	5.381975479	5.722466024	6.726558779	6.008988783	8.35974956	6.061776198	5.862947248	6.563768278	7.109569509	5	5.161887682	5.09592442	4.626439137	7.405141463	5.632268215	8.032321287	7.016808288	6.249824549	5.655351829	5.266786541	6.666756592	6.452858965	8.215290306	5.551516018	6.58345891	6.48058827	7.087462841
