	N120	N123	N124	N126	N130	N131	N138	N140	N141	N142	N144	N146	N148	N149	N150	N151	N153	N158	N160	N161	N163	N165	N166	N169	N171	N172	N175	N176	N178	N179	N182	N183	N185	N186	N187	N188	N189	N192	N197	N200	N201	N202	N203	N205	N210	N212	N214	N215	N216	N221	N222	N224	N226	N228	N229	N232	N233	N238	N239	N240	N242	N244	N245	N246	N248	N250	N252	N254	N255	N261	N262	N265	N267	N268	N270
B4GAT1	0.98023207	1.666658767	0.322264185	0.60720155	0.0	1.429462953	0.354451684	0.779827227	0.57964	0.45373	1.209466139	1.903646176	3.333428688	-0.018994805	0.999746476	1.09615957	0.136318377	1.078103689	0.0	0.623261684	0.036134107	0.350838934	0.122047379	1.229273689	1.001358767	0.947756266	0.053	0.818301268	0.737693093	0.572327499	0.282573754	0.6421	1.557978688	-0.016623524	0.556930581	0.965650581	0.435036139	0.44298155	0.648875663	0.389870672	1.315191905	0.004760848	1.054897338	0.20922	1.071272759	0.561907379	0.00227207	0.685230581	-0.217941066	0.680807379	0.034156476	0.07798147	0.687601733	0.281577227	0.236293093	0.44053147	1.250303349	-0.156673824	0.620381905	-0.008584337	-0.166933001	0.32087	0.60217147	1.276325254	0.476531268	0.289263689	0.39029	0.418525254	1.357261503	0.229348852	0.15361	1.877418688	0.492196472	0.706078852	0.581887338
CD69	0.60454207	3.584428767	2.411004185	2.87413155	3.307454234	3.504682953	2.318151684	4.308407227	2.67183	1.39191	4.112466139	3.400856176	5.078798688	1.497515195	3.275156476	3.38513957	3.549868377	3.309603689	3.331338852	2.259771684	2.811034107	3.953058934	0.759117379	1.975273689	1.392228767	5.218686266	2.40056	1.136171268	4.414523093	1.899907499	3.066523754	2.03078	5.193638688	0.950606476	2.867990581	2.352580581	2.826256139	1.95706155	2.406245663	4.228660672	3.748751905	2.361010848	4.024157338	1.28818	4.923442759	2.158797379	3.31368207	3.819500581	2.467328934	1.652907379	2.255896476	2.29992147	3.834421733	2.994347227	3.475183093	2.92504147	3.128253349	0.650846176	4.052341905	2.485975663	0.446426999	2.29969	4.36639147	1.193835254	3.600101268	4.161763689	1.50393	0.454185254	4.920331503	1.775178852	3.84819	4.662838688	2.875216472	3.819138852	2.571627338
CRHBP	0.99672207	0.923358767	0.599264185	0.63736155	0.518954234	0.097402953	-0.000818316	0.250167227	0.5396	0.10978	0.345746139	1.321146176	2.540608688	0.220295195	1.134786476	0.51320957	0.017668377	0.366173689	0.0	0.399181684	-0.140765893	0.272818934	0.417177379	1.497683689	0.998018767	0.084016266	0.21432	0.384641268	0.473363093	0.776687499	-0.052636246	0.36687	0.349158688	0.021356476	0.656930581	0.498550581	-0.167043861	0.38173155	0.541365663	0.356580672	0.036581905	0.040130848	0.520927338	0.16817	0.975212759	0.366337379	0.03099207	0.720080581	-0.258731066	0.662587379	0.145546476	0.28521147	0.0	0.002927227	0.0	0.0	1.012023349	0.021386176	-0.088798095	0.048985663	-0.061663001	0.43327	0.56288147	0.985495254	0.292021268	0.569853689	0.17542	0.579985254	0.216861503	0.158058852	0.45964	0.416598688	0.393246472	-0.280231148	0.347697338
SPINT1	1.06700207	0.839958767	0.427434185	0.89158155	0.547734234	1.436392953	0.167991684	-0.026552773	0.56737	0.07701	0.530086139	1.300546176	3.904398688	0.450415195	0.944536476	1.16517957	1.228608377	1.201563689	0.956238852	0.372791684	0.492424107	0.673818934	0.384197379	1.342123689	1.006878767	0.435526266	0.39624	0.529631268	0.609083093	0.752907499	0.161083754	0.32664	3.268428688	0.294036476	0.466880581	0.715940581	0.616726139	0.55851155	0.298195663	0.815270672	1.143341905	0.513030848	0.842147338	0.2583	0.687932759	0.495717379	0.69497207	0.916920581	0.127868934	0.721267379	0.149106476	0.89805147	0.659211733	0.476767227	0.397353093	-0.06950853	1.055243349	0.017246176	1.086641905	0.030875663	0.0	0.59765	0.36148147	0.600075254	0.080751268	0.411963689	0.15467	0.591565254	1.758591503	0.456468852	0.19717	3.046178688	0.425706472	0.006738852	0.546497338
FSTL3	2.55201207	3.284958767	2.122744185	3.12573155	2.809744234	2.079322953	1.358491684	0.087477227	5.33259	1.55464	1.004566139	2.942416176	4.468478688	3.058415195	2.477176476	3.20477957	1.129208377	2.295143689	1.823168852	2.204431684	1.361984107	1.536818934	0.162647379	1.505023689	3.530758767	1.359276266	1.46338	4.679811268	0.186183093	1.039237499	0.606673754	2.14785	2.782128688	1.351656476	1.041050581	1.910270581	0.584276139	1.55580155	0.541475663	1.047800672	1.294141905	0.850330848	1.586057338	2.41736	1.410332759	2.928947379	0.05040207	1.457110581	1.030198934	6.003997379	0.219336476	3.07496147	0.634761733	1.425177227	1.634853093	1.93135147	3.326903349	1.402526176	1.733601905	1.863765663	-0.200983001	2.6177	0.34502147	1.805535254	0.328281268	1.315513689	1.01284	2.288505254	0.881531503	2.334538852	1.06207	2.987908688	1.194266472	2.137998852	2.208597338
CD58	1.57112207	2.048418767	1.660864185	1.81363155	0.834224234	2.308102953	2.185531684	2.598417227	1.65056	1.42049	2.226716139	2.129106176	4.162018688	1.083935195	1.666606476	2.31657957	1.867068377	1.451173689	1.788328852	1.158921684	1.062634107	2.975638934	0.476567379	1.678853689	1.695648767	1.906796266	0.85519	1.040191268	2.814753093	1.078997499	2.237043754	1.03966	2.424968688	0.502596476	0.933120581	0.868680581	1.731736139	1.17127155	0.800695663	1.351040672	3.994241905	0.729920848	2.005287338	0.42322	1.684602759	1.126937379	1.01155207	1.625570581	1.052518934	1.438227379	1.129786476	1.72273147	1.912031733	1.795597227	1.243913093	1.74054147	2.168273349	0.975266176	2.504341905	1.319315663	1.383456999	1.72558	2.86493147	1.240875254	2.804591268	2.710073689	1.13202	1.194475254	3.376291503	2.503598852	1.22439	2.209638688	1.502866472	1.928678852	1.645607338
NOV	9.11857207	8.187238767	8.669294185	8.76130155	7.029194234	7.833062953	7.930351684	7.547577227	8.6407	7.90509	8.823726139	9.326286176	10.71682869	8.773575195	6.185396476	8.76672957	8.177198377	8.334673689	9.320538852	7.780001684	8.217644107	8.192068934	8.184717379	9.788763689	8.805868767	6.336276266	7.95329	8.425301268	5.597673093	8.778417499	7.522243754	8.70513	8.393258688	8.613526476	8.850740581	5.883710581	7.266706139	8.74994155	8.628675663	8.312240672	6.527681905	7.937460848	8.920117338	7.69711	8.424382759	8.717077379	8.21193207	8.601480581	7.947918934	8.250137379	8.239126476	7.98619147	9.193641733	8.131807227	8.276563093	8.13460147	8.669623349	5.818186176	8.131481905	8.526905663	8.483176999	8.50383	5.27604147	8.558665254	7.902181268	8.652083689	7.41568	6.517445254	7.032391503	7.180548852	7.65621	8.562608688	8.647756472	8.020738852	8.669357338
CNTN4	2.34671207	2.459588767	2.022444185	1.04123155	0.592864234	2.183552953	0.868971684	2.373987227	0.99952	2.10903	2.266696139	2.786946176	3.638138688	0.999345195	1.132716476	2.28354957	1.257868377	1.304273689	1.132888852	1.516521684	0.968404107	1.432188934	0.643787379	2.381913689	1.684998767	0.466096266	0.91641	1.021461268	0.616443093	1.151187499	1.181643754	1.48885	1.307298688	0.758326476	1.446780581	0.873510581	0.561886139	1.65312155	1.154765663	1.054480672	1.189761905	0.358510848	1.663677338	0.50705	0.825262759	1.852947379	0.94754207	0.826780581	0.560228934	1.771717379	0.705546476	1.14090147	1.771301733	1.726167227	0.740913093	1.38111147	2.150343349	-0.087813824	1.022441905	1.306795663	1.549356999	1.13052	0.46788147	2.092945254	1.068841268	1.040363689	0.63924	0.684645254	1.324471503	1.084488852	0.86679	2.420008688	0.834206472	2.213698852	1.245107338
CA2	5.11154207	7.921408767	3.195894185	7.43705155	7.956654234	7.244552953	5.936661684	7.941497227	5.67694	3.43823	5.729586139	7.008926176	9.416268688	4.948085195	4.204426476	5.74205957	5.187788377	7.435863689	5.631998852	4.939431684	4.918904107	8.234458934	4.207387379	7.001203689	6.148338767	7.815966266	4.78137	5.837361268	8.191383093	8.796027499	7.730263754	7.16811	8.103008688	5.048196476	5.160420581	8.740930581	8.115316139	7.21916155	6.234555663	4.787150672	7.024641905	4.045930848	6.049907338	4.66251	7.895122759	5.391727379	4.95881207	5.589910581	5.751058934	3.824947379	4.394986476	3.38043147	5.106951733	6.135967227	3.676743093	6.59496147	5.386413349	5.385316176	7.625761905	4.137895663	2.992716999	5.34008	7.83251147	7.670735254	6.630721268	7.915463689	7.21664	2.168795254	6.171261503	7.813738852	4.84293	7.767968688	5.573086472	6.518078852	5.349597338
XG	3.79522207	5.747008767	1.197264185	3.93173155	2.911754234	3.845772953	3.138931684	5.660157227	2.24476	4.91705	4.191626139	5.282996176	5.909978688	4.615295195	2.459646476	6.44769957	2.748498377	3.617453689	2.754068852	4.800261684	3.467084107	4.622158934	1.978027379	4.447363689	2.803968767	3.516986266	1.75773	3.278421268	1.752693093	2.062687499	2.247653754	3.92746	3.395248688	2.453836476	3.130130581	2.283270581	2.137146139	3.00313155	3.411615663	2.424320672	4.206071905	3.202420848	3.987347338	2.02537	2.785942759	3.919957379	2.39943207	2.960920581	1.931168934	4.595057379	1.430646476	3.48053147	2.677151733	4.096107227	2.600013093	3.10823147	5.080443349	1.604716176	3.516851905	1.938815663	1.440176999	3.03521	3.39973147	2.253575254	2.754461268	4.192483689	1.26029	0.931765254	3.060011503	2.602138852	2.72211	4.487348688	2.529966472	3.923308852	2.764127338
ARSA	5.19382207	6.339838767	3.085174185	5.90135155	4.600894234	7.546552953	4.707061684	5.591317227	5.5255	6.06068	6.714416139	6.159986176	9.716468688	5.803505195	3.164346476	6.67547957	6.939508377	6.501413689	3.076388852	6.203671684	6.570574107	6.373228934	4.016057379	5.239673689	4.616208767	6.540016266	4.58466	4.761771268	4.773483093	3.554627499	5.769593754	5.1407	8.630818688	3.968056476	5.304690581	4.176070581	5.501786139	5.55187155	5.040905663	5.197200672	5.024921905	5.547550848	6.430087338	3.60509	5.491532759	4.845287379	5.67319207	5.255240581	5.305518934	5.930417379	3.565826476	5.80008147	5.497521733	6.005917227	4.511063093	4.93869147	5.173803349	2.659676176	7.193391905	3.791875663	2.927166999	5.10246	5.19780147	4.630705254	4.722671268	5.348743689	6.24727	2.539595254	6.854841503	4.841708852	3.15895	8.694468688	4.155886472	6.643668852	5.593487338
PPIB	6.48705207	6.294238767	5.884334185	6.06467155	5.842514234	5.494722953	5.485131684	5.708997227	5.91107	5.84737	5.686836139	6.831026176	7.957218688	5.876075195	6.362846476	6.02881957	5.369328377	5.938773689	6.437188852	5.661221684	5.455414107	5.387898934	5.497297379	6.821383689	6.169398767	5.043076266	5.70942	5.577711268	5.977073093	5.723087499	5.423613754	5.98084	5.449208688	5.606846476	5.876970581	5.864990581	5.623856139	5.87103155	5.806755663	5.746490672	5.457431905	5.707280848	6.110067338	5.70881	6.131602759	5.907267379	5.70444207	5.848330581	5.484758934	6.033877379	5.672266476	5.77522147	6.331391733	5.420777227	5.803123093	5.45682147	6.435153349	5.539426176	5.580961905	5.729295663	5.281056999	5.88087	5.84288147	5.890025254	5.576921268	5.924283689	4.84692	5.600285254	4.664031503	5.639908852	5.51297	5.633178688	5.615406472	5.508098852	5.920897338
OMD	7.72617207	8.053608767	6.725424185	6.90545155	5.544874234	5.904982953	5.562871684	2.327867227	7.75651	6.66764	5.049236139	7.662216176	8.231298688	7.163625195	7.264846476	7.35896957	4.827408377	7.054623689	8.246698852	6.909571684	5.203474107	5.500328934	4.372727379	7.629703689	7.298018767	4.258906266	6.37267	7.026221268	6.023683093	6.637617499	4.610513754	6.73131	6.812548688	5.758716476	7.004310581	2.280580581	2.677266139	6.57453155	6.135595663	6.902900672	5.170531905	5.589690848	7.744047338	4.7785	4.448562759	6.273067379	5.75460207	5.524450581	5.610068934	7.466767379	5.397226476	7.59380147	6.659521733	5.758657227	5.453343093	6.33070147	7.856633349	4.172476176	6.540251905	5.951165663	4.925616999	7.21306	3.80181147	6.702485254	5.370291268	6.032093689	4.88243	7.182355254	4.274801503	5.654518852	5.44781	7.731488688	6.425246472	6.117138852	6.169307338
PEBP1	8.73672207	8.955108767	5.863804185	8.33123155	7.396574234	8.470282953	7.811341684	7.931127227	7.99099	8.57752	8.359726139	9.191676176	10.78183869	7.936785195	3.925676476	8.71740957	7.989208377	8.180953689	6.020638852	8.409931684	7.991674107	8.371928934	5.577107379	8.447253689	8.753538767	7.737216266	7.06965	8.431001268	6.449393093	7.616207499	7.722363754	8.3858	9.056798688	8.084496476	7.868650581	7.953260581	7.983626139	8.02088155	7.399365663	7.756490672	7.415841905	7.445860848	8.636797338	7.36361	8.065862759	8.232747379	7.36954207	7.127790581	7.636868934	7.835087379	6.157076476	7.61148147	7.045311733	7.773287227	6.579593093	7.55635147	8.285473349	5.855896176	8.223021905	5.304445663	5.406576999	7.40696	7.33423147	7.698845254	5.923781268	7.137843689	7.8033	3.705325254	7.907351503	7.517558852	5.21698	9.095418688	5.976806472	8.340198852	8.271667338
PAMR1	7.16377207	8.792138767	5.805654185	5.99327155	2.596774234	7.360662953	5.386181684	6.068257227	8.26506	6.11695	8.673946139	10.03104618	8.997058688	5.872035195	7.283746476	9.32306957	4.392918377	9.246923689	6.872498852	7.647751684	4.462424107	7.603718934	4.161447379	8.765993689	7.101918767	5.748726266	6.35788	4.729071268	8.192883093	5.600157499	4.071703754	8.6079	6.948338688	3.002076476	7.276620581	2.924720581	3.804886139	7.54424155	9.202055663	6.374950672	2.808001905	5.764520848	8.267387338	2.75948	5.111262759	6.651407379	6.85081207	5.791460581	2.215238934	6.733957379	7.039416476	8.24623147	8.734701733	7.628117227	7.404403093	5.69147147	9.719663349	3.416876176	5.876011905	7.026515663	7.291146999	6.18883	5.49194147	6.029685254	8.891021268	7.616143689	3.54542	6.500425254	7.286751503	4.280568852	6.40806	8.203048688	4.968646472	7.821098852	5.915737338
FCER2	2.42653207	2.178948767	0.573464185	1.63833155	2.149074234	2.218892953	0.243531684	1.055807227	0.10715	0.0	1.030026139	2.608566176	4.048998688	0.437215195	1.223306476	2.22654957	0.778778377	1.498893689	2.093758852	0.392141684	0.492084107	-0.205161066	0.0	0.0	1.205218767	2.582436266	0.47388	0.672741268	1.758023093	2.318157499	0.676603754	0.94229	2.992448688	0.006616476	0.499420581	1.358030581	2.307416139	0.58508155	1.066625663	0.254910672	0.0	0.402960848	1.082207338	0.83149	2.330812759	2.385187379	-0.04666793	1.162090581	0.081108934	1.577267379	0.341256476	0.22496147	1.032551733	1.561587227	0.0	0.43237147	1.003943349	0.021486176	1.542761905	0.0	0.0	0.06428	2.51089147	1.414115254	0.303311268	0.721293689	0.14095	0.786085254	0.330531503	0.554648852	0.13132	2.221008688	0.599116472	0.613228852	1.050447338
LAMA4	6.93399207	8.135038767	5.596394185	7.02645155	4.632064234	8.605972953	7.006001684	6.921607227	7.96696	4.77993	8.176576139	8.065156176	10.48799869	6.977455195	6.585686476	8.86308957	5.394748377	7.588763689	5.852388852	6.959421684	5.743524107	8.118558934	3.761637379	6.778723689	7.265808767	8.437126266	6.15884	6.624041268	5.355523093	5.759417499	7.048703754	7.06156	9.204588688	4.503856476	7.379540581	6.884850581	9.038616139	8.09601155	6.444395663	6.364270672	7.209291905	5.955280848	7.788077338	6.03952	8.079772759	6.842237379	7.66082207	6.476460581	5.622238934	7.605387379	6.582576476	7.47346147	7.339981733	6.035817227	6.863293093	7.31010147	8.261763349	6.541086176	7.300181905	6.808955663	6.196036999	5.67445	7.73021147	6.884735254	7.271621268	7.563663689	2.45346	4.570105254	8.246741503	7.920608852	6.25606	9.644368688	5.881266472	8.109078852	7.587917338
LAIR1	7.91690207	9.082758767	7.727304185	9.67203155	9.062324234	10.72323295	9.001591684	7.376447227	8.90961	7.99643	10.47697614	9.705996176	12.95265869	9.684545195	7.897106476	10.75233957	10.64127838	10.78746369	8.468608852	8.336081684	9.822924107	10.25002893	8.033297379	7.461463689	8.880748767	9.998256266	7.86638	7.784981268	8.240473093	8.378297499	9.549473754	7.86751	11.08635869	8.274486476	9.311580581	8.853890581	9.523376139	9.34024155	9.141475663	10.09324067	9.662301905	9.709640848	10.38943734	7.35044	10.20388276	7.860897379	9.93535207	9.977660581	9.329738934	10.10263738	8.679826476	10.35253147	9.790761733	9.637467227	9.578733093	9.19784147	9.294863349	7.117066176	10.72182191	8.243365663	6.936316999	9.46421	8.94326147	7.402785254	9.448211268	8.932193689	7.94511	5.945585254	10.4451915	9.353188852	7.81291	11.14298869	9.067486472	9.634288852	9.513037338
RELT	5.58312207	5.939638767	1.651524185	5.75066155	6.204634234	5.322342953	5.188261684	2.511537227	4.03097	4.54403	5.437866139	5.708866176	8.234118688	4.963935195	2.954296476	7.04110957	4.967328377	5.383423689	2.858258852	4.292241684	4.513524107	3.604658934	2.112487379	2.495003689	4.945568767	5.928476266	1.63368	4.859151268	3.582593093	3.945037499	4.590143754	3.63143	6.856648688	2.783036476	3.533780581	6.555590581	5.206096139	4.47905155	3.888895663	3.572700672	5.946561905	3.635530848	4.041797338	3.50096	6.257792759	4.845327379	3.17254207	3.599440581	5.246298934	6.397777379	3.310136476	5.17973147	3.958151733	4.879147227	3.845413093	5.12540147	4.968983349	4.425486176	6.096271905	2.774105663	1.554646999	4.16784	5.81523147	5.915585254	3.817201268	4.258893689	2.35867	1.681705254	4.746531503	6.398648852	2.65066	6.198568688	3.772506472	4.884768852	4.375257338
TPP1	4.60831207	4.856598767	3.042204185	5.66699155	4.739534234	6.786352953	4.224011684	2.643027227	6.15202	3.22484	5.636286139	5.242626176	8.629268688	4.773905195	5.008316476	6.41499957	6.538668377	6.986963689	5.650138852	3.846631684	4.184414107	5.876188934	2.463847379	4.930283689	6.381628767	5.713616266	3.85967	7.105111268	5.299713093	2.960247499	5.979123754	4.08432	8.062448688	3.172236476	4.018120581	5.382070581	4.991096139	4.32427155	3.674405663	5.560360672	5.845071905	4.003460848	5.357237338	4.13553	5.448832759	4.948197379	4.91204207	4.323410581	4.991698934	6.032907379	2.714146476	5.27686147	3.766901733	4.814027227	3.432093093	4.53021147	5.207593349	3.147756176	7.045061905	4.729625663	1.129816999	5.14664	5.87618147	4.510375254	5.335821268	4.950873689	3.795	5.206305254	6.823801503	4.672998852	2.50379	8.051948688	4.325466472	4.390078852	5.113807338
CD209	1.81860207	3.402368767	3.296764185	4.57100155	3.792374234	5.383172953	3.709491684	3.671217227	3.31159	1.82753	6.584516139	4.307466176	7.346058688	2.200905195	2.665206476	3.70261957	5.711978377	5.692843689	3.532008852	2.315051684	3.341654107	3.703828934	3.971957379	2.971373689	2.190278767	4.069226266	4.31619	2.356781268	3.433923093	2.007337499	4.371573754	3.62579	4.488158688	3.132536476	5.044900581	4.065800581	3.739076139	2.55833155	3.051435663	2.056820672	2.166771905	4.915660848	3.790717338	1.97194	4.529992759	2.483937379	2.73935207	6.349930581	3.030898934	4.063187379	4.215336476	2.72913147	5.352811733	4.383857227	4.022743093	3.51312147	3.675293349	1.204216176	5.138041905	2.093615663	0.818186999	2.89708	5.09921147	3.173985254	4.225651268	4.876333689	1.21793	2.173245254	3.663821503	3.530328852	4.44195	3.947418688	3.303416472	4.501868852	3.859227338
LRIG1	2.57308207	3.059688767	2.551514185	2.69070155	0.686374234	3.209142953	1.880721684	2.157127227	1.93011	1.99184	3.157976139	3.586826176	4.403178688	1.210755195	1.386386476	2.77630957	1.703468377	2.066063689	2.459198852	2.383421684	1.227144107	2.923368934	0.415197379	2.125793689	2.464078767	1.911876266	1.15834	1.234781268	1.399413093	0.993147499	1.196043754	2.30462	3.535988688	0.510226476	1.698100581	0.754640581	2.333396139	2.04887155	1.560465663	2.278080672	2.853591905	1.303940848	2.878847338	1.09078	1.955202759	1.926377379	1.65544207	1.619800581	0.480318934	1.169697379	2.293246476	1.87678147	2.818201733	1.932987227	2.086603093	2.04224147	3.211723349	0.289276176	2.148381905	2.583465663	1.928906999	1.96815	1.01493147	2.157135254	2.240621268	2.198683689	0.03335	1.249085254	3.169231503	1.360238852	1.64189	3.591588688	1.923516472	3.082738852	2.445537338
AHCY	1.80618207	1.723778767	0.778904185	1.24859155	0.673694234	3.506942953	0.503101684	1.159077227	1.50345	0.53714	1.800876139	2.191766176	4.034568688	0.753825195	1.574426476	2.71176957	1.445358377	1.400313689	1.845538852	0.634011684	0.333974107	0.653608934	0.756907379	1.531813689	1.315548767	0.996346266	0.74476	1.041101268	0.814853093	0.751117499	1.304443754	0.68553	3.366848688	0.453736476	1.358420581	1.106990581	1.101996139	1.07698155	0.909775663	1.251540672	1.237511905	0.695990848	1.561387338	0.20437	1.292442759	1.539357379	0.56915207	0.858250581	0.258868934	0.771537379	0.140726476	0.40070147	1.285081733	1.294267227	0.0	0.49057147	1.932253349	0.373976176	1.847381905	0.314985663	-0.110293001	0.97846	1.52096147	1.746615254	0.875871268	0.963163689	1.13579	0.612355254	1.794541503	1.115028852	1.03505	3.870618688	0.645096472	1.489308852	1.159367338
THOP1	2.65212207	3.981688767	1.156824185	3.04218155	0.683244234	4.830612953	1.348541684	2.899177227	2.8266	3.86152	4.115846139	4.107406176	6.462728688	1.859125195	1.068916476	4.45861957	2.875008377	3.899433689	1.585058852	3.356721684	2.775664107	3.659768934	0.898347379	3.353353689	3.073208767	2.893566266	1.40914	2.088741268	2.535743093	2.479317499	1.676303754	2.40884	5.884568688	0.636176476	2.318440581	2.571620581	3.137436139	2.92954155	2.353455663	2.717900672	2.620841905	2.264850848	3.644377338	1.23637	3.085762759	2.158887379	2.46008207	2.415740581	0.482158934	1.640597379	1.130156476	2.49507147	2.033911733	2.509727227	2.482853093	2.08483147	2.794863349	0.544006176	3.405171905	1.475445663	-0.186993001	1.64319	2.88968147	1.970215254	1.874251268	3.003913689	2.15659	0.0	4.077121503	1.825278852	0.261	6.469368688	1.218906472	3.195698852	2.508487338
CTSO	3.03410207	1.523288767	3.216494185	2.23845155	2.141374234	2.021762953	1.297681684	0.0	3.52304	1.43145	0.780286139	2.233226176	4.154488688	1.809015195	3.360436476	1.50751957	1.105178377	3.125523689	3.703788852	0.761051684	0.114584107	0.783718934	1.447977379	2.849233689	2.909298767	0.994006266	1.86692	3.778891268	1.782483093	1.942667499	0.406103754	2.53831	2.955338688	1.029836476	2.142910581	0.250990581	0.548826139	1.78684155	0.924665663	2.729840672	0.582011905	2.053030848	1.221657338	2.70464	1.144162759	2.617207379	0.15254207	1.975190581	0.437938934	4.571127379	1.172146476	1.88979147	1.586941733	2.308357227	1.521223093	0.97066147	3.466173349	0.094156176	1.162281905	2.491845663	0.0	2.56638	1.12862147	1.842145254	1.163711268	2.165023689	0.87387	3.159595254	0.927061503	0.502948852	1.51833	2.445968688	1.550236472	0.639948852	2.077807338
CD164	3.41655207	4.384028767	2.621074185	3.77422155	3.209384234	5.893982953	4.646901684	3.505517227	4.005	4.41462	5.273296139	3.700296176	7.538488688	3.231895195	2.126316476	4.37438957	4.871378377	4.210883689	2.821768852	3.982741684	4.131394107	4.671948934	1.776677379	3.203693689	4.218798767	5.416146266	2.43854	4.160891268	3.005833093	2.337487499	3.945653754	3.08171	6.794048688	2.584646476	2.864840581	3.697850581	4.360326139	3.47810155	2.484175663	3.739670672	4.190481905	2.935710848	4.653357338	2.38496	4.190072759	3.504217379	3.02252207	3.228980581	3.924308934	3.611137379	2.028346476	3.21345147	2.952521733	3.910587227	2.638253093	3.59431147	3.627103349	2.607476176	5.637131905	2.513225663	1.560506999	3.28934	4.26338147	3.385915254	3.651341268	3.233593689	3.76032	1.539525254	5.697491503	4.511748852	2.19445	7.334268688	2.808056472	4.049888852	4.189537338
ACP6	1.56353207	2.842988767	0.609404185	0.69440155	0.0	1.303492953	0.275461684	1.143917227	1.13552	0.29385	1.695746139	2.484066176	4.075478688	0.0	0.0	2.42792957	0.0	1.005563689	0.0	0.986591684	-0.245275893	1.663588934	0.0	1.401033689	0.646288767	0.278806266	0.0	0.705471268	0.617593093	0.451807499	-0.074976246	0.42331	3.762618688	0.0	1.105580581	0.583520581	1.210446139	1.05277155	0.579565663	0.826680672	1.042851905	0.142340848	1.759587338	0.16605	0.912612759	0.830527379	-0.04947793	0.730070581	0.0	0.0	0.368286476	0.10922147	0.674321733	0.134557227	0.205413093	-0.09070853	1.562123349	0.0	0.503871905	0.303495663	0.024496999	0.33097	0.85143147	0.948445254	0.550401268	0.250633689	1.0375	0.288515254	2.116341503	-0.160751148	0.31778	3.174068688	-0.023693528	0.737108852	0.885507338
ANGPT2	2.49852207	3.680368767	2.052694185	1.50105155	1.087934234	2.981672953	0.670411684	-0.138562773	2.21746	0.41809	1.887946139	2.564366176	4.475048688	1.544425195	2.272656476	2.46864957	0.983468377	1.783093689	2.573838852	0.952271684	-0.136135893	1.010678934	1.000187379	2.535473689	2.631998767	-0.060953734	0.38962	0.0	1.950863093	1.720337499	1.858273754	2.4388	2.384798688	1.102086476	2.770640581	1.842850581	1.956476139	2.75713155	1.037565663	3.562450672	1.001721905	1.651500848	1.720377338	2.32727	4.102992759	1.951277379	2.01552207	2.278480581	1.004498934	0.0	1.762136476	0.44868147	4.130161733	1.270797227	0.700303093	3.12875147	3.594843349	0.108926176	1.837671905	2.854895663	1.822566999	2.51452	5.27754147	2.536655254	2.756191268	4.699123689	0.0	1.543125254	0.785861503	1.226168852	1.75054	3.738298688	1.952786472	2.599788852	1.934937338
CD2AP	1.83388207	4.253088767	1.502544185	3.61244155	1.828304234	4.227322953	2.373721684	0.356157227	2.79497	1.92311	4.176996139	4.201626176	6.895208688	1.505305195	2.262996476	5.63575957	4.152278377	5.600723689	2.298278852	1.571851684	2.329654107	3.935488934	0.586517379	2.437683689	3.102488767	0.037756266	0.30446	2.125721268	3.854753093	1.794937499	3.674723754	2.23891	5.450158688	1.054416476	2.323690581	2.796700581	0.847216139	2.66757155	2.482975663	3.983440672	3.454671905	1.966600848	4.183337338	0.74025	3.531442759	1.616017379	2.74354207	2.932570581	1.338208934	1.730907379	2.006266476	2.61631147	2.741471733	2.342617227	2.215523093	2.98913147	4.383643349	1.565426176	4.209021905	2.911185663	1.106206999	2.79938	5.33669147	2.873005254	3.779731268	4.439343689	0.22859	1.454405254	1.888071503	2.721138852	1.96103	7.063718688	2.282196472	3.095818852	3.384927338
ANGPTL7	0.70723207	0.430168767	0.356694185	0.32048155	0.169014234	-0.020137047	0.099511684	0.585237227	0.51963	0.2396	-0.106783861	1.462836176	0.0	-0.031404805	0.974236476	0.33958957	-0.369731623	0.439613689	0.0	0.589441684	0.059034107	0.0	0.116277379	1.152543689	0.414488767	0.0	0.0	-0.093728732	0.0	0.536627499	0.0	0.0	0.084978688	0.0	0.383680581	0.080780581	-0.115773861	1.18599155	0.393815663	-0.038419328	0.0	-0.013789152	0.398607338	0.0	0.269412759	1.588297379	-0.25063793	0.389400581	0.110758934	0.132337379	0.090096476	-0.02097853	0.654951733	0.638257227	1.093423093	0.58098147	0.743153349	0.0	-0.304658095	0.010085663	0.0	0.00235	0.0	0.294995254	-0.114938732	0.191343689	0.14901	0.258655254	-0.268978497	-0.239591148	0.06801	0.351298688	0.312666472	1.243498852	0.0
