	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N230B	N232B	N233B	N234B	N235B	N237B	N238B	N240B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N257B	N258B	N259B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
MFAP4	5.343407822	5.623515741	6.623515741	7.678776174	6.161887682	4.201633861	7.536830005	7.491051376	5.738767837	7.581200582	6.215290306	8.830990481	6.614709844	4.485426827	8.69034725	5.942514505	8.695228291	7.674545394	7.094869433	6.378511623	6.057450272	6.147713722	7.21916852	6.207502459	5.361066489	7.709428501	7.445428759	6.545350645	8.28771238	6.209453366	8.364134655	5.935459748	6.402585758	7.518062976	8.436711542	4.887525271	8.023477152	7.294620749	6.690696444	9.382624027	7.936637939	8.195741293	6.300123725	5.09592442	6.526694846	7.991521846	7.776103988	6.891176125	8.292781749	7.309248961	6.705977902	7.507001733	7.653203362	7.565292521	5.557655155	5.221103725	6.454504938	6.493455201	8.326878855	8.577806447	7.049848549	4.925999419	7.452035274	7.021257621	8.081616583	7.348728154	7.475733431	6.722466024	7.63008507	5.887525271	7.108524457	7.960001932	6.098032083	5.371558863	6.259272487	6.14974712	4.958842675	6.050936965	7.336283388	6.708739041	7.62935662	5.251719093	4.87774425	7.102238194	7.680183682	7.437960088	7.917670434	7.545350645	7.468420402	8.723831566	8.954487147	6.224966365	8.068778278	6.74281467	6.037821465	6.881419908	4.87774425	7.651051691	7.633721813	8.199181549	7.492654371	8.206037546
MIME	5.757556689	6.812498225	7.203592714	7.00337736	6.707359132	2.655351829	5.078951341	6.155830172	6.515699838	7.362820526	4.986410935	6.682292371	7.237448996	5.432959407	7.512542955	6.070389328	7.764871591	6.503030646	5.882643049	6.905687849	7.17292749	7.361066489	5.786596362	5.646738698	5.251719093	7.024585638	5.680886921	7.55688919	7.193771743	5.482202926	6.745506266	7.026800059	6.362820526	6.369815424	7.390598906	6.240314329	8.151777655	5.584962501	7.217230716	7.427103287	6.76420813	7.094869433	5.789207575	5.666756592	5.646738698	7.117902789	7.612499946	6.551516018	7.249824549	7.972118218	7.080018029	7.458611673	8.55228484	7.354028938	4.711494907	7.997744026	6.881419908	7.909293086	7.653203362	7.608069968	6.017921908	5.697662633	6.509379149	6.45779126	6.987548259	6.808642468	5.50779464	6.135452784	7.245077275	7.593204354	7.008988783	6.935459748	6.753551055	6.375039431	5.074676686	6.705977902	6.183883459	6.485426827	6.826548487	6.607330314	7.238404739	6.690696444	5.087462841	8.000563443	8.132371199	7.224001674	8.38024459	6.394033895	6.933100475	7.047669251	7.752882366	5.498250868	5.862947248	6.562242424	6.496654083	6.64096791	5.700439718	7.697662633	8.613973587	7.311975314	6.046578367	7.744161096
CD14	6.827819025	6.400879436	3.584962501	5.422905743	6.581953751	6.118941073	5.638073837	7.162894799	6.826548487	6.701826258	7.09592442	4.87282876	4.711494907	7.069315495	6.175923742	6.419538892	5.845490051	7.089582893	6.844234988	6.187846909	7.616181231	7.370687407	6.969242604	6.683696454	6.323730338	6.044394119	5.733354341	6.008988783	5.966682245	7.304693557	4.554588852	6.30560579	6.682292371	6.211401637	5.623515741	6.62058641	4.614709844	6.429615964	6.412781525	5.251719093	6.977279923	5.040015679	6.556122818	6.462706751	6.863443029	5.87282876	5.510961919	6.880195729	4.925999419	7.005624549	6.565292521	6.28169825	6.268658955	5.741466986	7.608069968	5.040015679	6.106432078	6.45779126	6.281649012	7.054197294	6.599912842	6.847996907	6.648177796	6.098032083	6.610286657	7.045486656	7.068240861	5.953233795	5.617651119	7.259272487	6.501439145	6.501439145	6.223036338	7.155830172	6.521992956	6.21916852	6.842978832	6.444600814	6.251719093	6.209453366	5.432959407	6.434628228	5.416164165	5.958842675	5.465974465	5.935459748	7.116863758	6.944858446	5.557655155	5.921245889	4.649615459	6.77478706	6.020146573	5.847996907	6.30560579	5.321928095	7.962317655	6.073221463	7.203592714	5.94016675	5.87036472	5.904484098
PERM	7.599912842	5.329123596	7.351380981	5.173926932	5.498250868	8.893604905	4.392317423	4.972692654	5.193771743	5.64096791	5.213347282	4.727920455	6.943686952	4.977279923	4.285402219	5.64385619	4.776103988	6.874059203	5.652486495	6.312882955	4.722466024	7.054197294	4.161887682	8.452035274	8.978138415	8.46311562	6.289096702	5.181897643	4.504620392	5.501439145	5.14974712	5.09592442	6.469234794	5.820178962	5.399171094	4.781359714	6.543805176	5.236492618	6.73470962	6.163901214	5.551516018	5.004501392	6.011227255	8.452035274	3.857980995	4.548436625	6.424586226	4.087462841	6.30560579	7.668175869	5.760220946	3.087462841	5.956521363	4.678071905	6.259272487	5.968090752	7.419538892	7.58044702	4.812498225	4.733354341	5.429615964	5.551516018	5.892391026	7.196725061	6.464341533	6.407692649	5.197708158	4.452858965	5.495055528	4.852997588	4.958842675	5.332707934	5.596935142	6.068240861	4.749534268	5.623515741	5.501439145	4.683696454	4.584962501	4.554588852	5.632268215	6.311067102	7.168922782	5.655351829	6.560714954	4.529820947	6.666756592	6.085339669	5.432959407	5.83541884	5.221103725	8.627898616	6.675251386	7.106432078	5.635173947	5.683696454	5.523561956	4.807354922	6.602884409	4.981852653	3.277984747	4.378511623
GANAB	6.441284272	5.812498225	6.048759312	6.141596278	6.882643049	5.51412226	6.026800059	6.970393538	6.462706751	6.82527683	6.462706751	6.745506266	5.649615459	6.593951284	6.050936965	5.935459748	6.399171094	6.490249211	6.431288654	6.085339669	5.970393538	6.569855608	6.447909749	7.032321287	6.830356747	6.395748328	6.287250643	5.64385619	6.836681593	7.196725061	6.442943496	6.95419631	6.829088444	5.855491443	6.449561375	6.656782364	5.837943242	7.00337736	6.257387843	6.881419908	7.511752654	6.06608919	6.719731057	6.439623138	5.357552005	7.189824559	6.266786541	6.719731057	5.963474124	5.48864354	6.982993575	6.06608919	6.649615459	6.224966365	7.718361626	5.842978832	6.141596278	6.283551423	6.432959407	6.183883459	6.726558779	6.619119511	6.608809243	6.341630009	5.247927513	7.093813673	5.832890014	5.958842675	6.240314329	6.703211467	5.789207575	6.452858965	6.364572432	6.171927354	6.475733431	6.636624621	6.404290064	6.385431037	7.307428525	6.686500527	6.38024459	6.287250643	5.495055528	5.855491443	6.249824549	5.057450272	6.215290306	6.316507819	6.607330314	7.344295908	5.663913842	4.566815154	6.786596362	6.493455201	5.949534933	6.002252452	7.020146573	6.359310317	6.712870868	6.474111514	6.369815424	6.327328083
DEF1	5.551516018	5.581953751	5.887525271	5.311067102	5.169925001	6.708739041	1.584962501	5.008988783	1.5360529	4.892391026	5.078951341	3.867896464	5.605849867	5.070389328	6.338067798	5.918863237	3.472487771	5.472487771	5.716990894	4.827819025	4.201633861	7.257387843	5.909293086	8.243173983	8.697315122	7.108524457	5.495055528	5.232660757	5.66106548	4.590961241	4.343407822	4.705977902	6.761551232	6.296457407	5.332707934	4.177917792	6.183883459	5.794415866	5.727920455	6.187846909	5.432959407	4.666756592	5.10433666	7.41869595	4.832890014	5.022367813	5.491853096	3.963474124	6.116863758	5.517275693	5.296457407	5.865423978	4.832890014	1.201633861	7.163901214	6.329123596	6.855491443	5.244125943	7.122051448	4.263034406	5.703211467	4.99095486	5.61176256	7.30833903	4.958842675	6.106432078	4.026800059	5.551516018	6.412781525	5.804776378	4.419538892	5.48864354	4.270528942	6.483815777	4.981852653	5.22881869	4.722466024	4.017921908	3.498250868	5.074676686	4.584962501	6.238404739	4.887525271	5.504620392	7.03562391	6.454504938	5.173926932	5.022367813	2.700439718	5.153805336	6.221103725	8.498649788	5.581953751	6.619119511	6.020146573	6.189824559	6.738767837	6.844234988	6.388878339	6.165911939	4.584962501	4.145677455
YBOX1	6.66106548	5.984133595	6.424586226	6.971543554	6.011227255	6.911691582	5.830356747	5.862947248	6.357552005	7.672425342	6.135452784	6.412781525	6.958842675	6.694880193	6.033423002	6.485426827	5.64385619	6.976134473	7.05853297	7.081083929	6.343407822	6.076815597	6.601399391	7.044394119	6.540709263	6.622051819	6.969242604	6.501439145	7.146695948	6.266786541	6.77478706	6.395748328	6.685099172	6.397460726	6.441284272	6.652486495	7.197708158	5.988684687	6.40599236	7.594697827	6.839203788	7.493455201	6.368069877	7.164906927	5.857980995	6.339850003	6.963474124	6.28169825	7.686500527	7.252665432	7.045486656	6.758889433	6.874059203	6.06608919	6.678071905	7.633721813	6.412781525	8.447909749	6.247927513	5.94016675	6.499845887	6.376776572	5.87774425	6.424586226	6.928370323	6.355791547	6.338067798	6.048759312	6.651051691	6.938991439	6.205548911	6.74281467	7.346956889	6.651051691	5.700439718	6.341630009	6.756222713	6.493455201	7.176921112	5.923624611	7.196725061	7.096978636	5.760220946	7.323730338	6.852997588	6.28169825	7.725195817	6.510961919	6.725195817	6.918863237	6.17990909	6.75087444	6.827819025	7.021257621	6.257387843	6.139551352	6.791814071	6.694880193	7.205548911	6.687900522	5.804776378	7.111657346
OLFL1	7.182890893	6.623515741	5.329123596	6.303780748	6.539158811	5.54225805	5.378511623	6.359310317	6.318316841	6.330916878	6.994353437	5.274261661	7.907491593	7.04220656	7.100136671	7.01234519	7.681589817	5.09592442	6.562242424	7.220136447	6.883865155	6.665335917	6.238404739	6.352264173	6.626439137	5.482202926	4.560714954	6.718361626	6.390598906	7.059614856	6.008988783	6.746850183	5.459431619	5.614709844	6.8008999	6.917670434	6.531381461	4.744161096	6.856736756	5.663913842	5.602884409	4.638073837	6.498250868	7.005624549	6.263034406	6.376776572	6.292781749	7.510961919	5.66106548	6.050936965	6.545350645	6.43629512	7.974988112	6.648177796	6.971543554	6.251719093	6.638073837	4.632268215	6.033423002	8.284939742	6.845490051	6.867896464	6.795715007	7.256444596	5.669593751	7.090641752	7.023477152	6.279842694	6.795715007	7.988116585	5.270528942	6.864186145	6.205548911	7.111657346	6.426264755	6.392317423	7.683696454	5.977279923	6.131342539	7.255500733	6.169925001	6.28169825	5.623515741	6.46760555	6.414473836	6.673839056	6.181897643	7.581953751	6.343407822	6.261154673	6.422905743	6.165911939	5.469234794	6.40599236	6.334496768	6.287250643	6.38024459	6.442943496	7.00337736	6.123086751	6.290940402	7.224966365
OLFL3	7.245077275	6.562242424	5.285402219	5.842978832	6.312882955	4.902073579	5.462706751	6.534497434	6.059614856	5.947198584	7.24697806	6.276124405	7.329123596	6.874059203	7.163901214	6.672425342	7.152791852	5.083213368	6.699051844	6.992088609	6.893604905	6.704595348	6.540709263	7.021257621	6.217230716	5.944858446	6.636624621	6.17990909	6.563768278	6.589463893	5.694880193	6.296457407	5.554588852	6.390598906	6.523561956	6.886306263	6.294620749	4.949534933	6.826548487	5.554588852	5.43629512	5.388878339	6.963474124	6.925999419	6.456149035	5.847996907	4.995484519	7.139551352	5.741466986	5.963474124	6.6395216	6.605849867	7.84862294	6.247927513	6.934280594	6.223036338	7.226893814	5.510961919	6.867896464	7.905086099	6.947198584	6.131342539	7.06501215	7.38024459	5.336283388	7.063934306	6.716990894	6.826548487	6.987548259	8.14974712	5.332707934	6.86913112	6.731997787	6.745506266	7.041111535	6.622051819	7.285402219	5.773468928	6.397460726	6.829088444	6.06608919	5.429615964	5.350497247	6.327328083	6.22881869	6.279842694	3.837943242	7.301953395	6.534497434	6.770829046	6.477353527	4.321928095	6.078951341	6.701826258	6.314696526	6.402585758	6.965784285	7.061776198	6.766860144	7.218199944	6.334496768	7.422905743
OMD	5.177917792	6.642412773	5.773468928	6.314696526	6.253611152	4.608809243	5.658211483	5.026800059	6.412781525	7.224001674	5.997744026	5.510961919	6.211401637	6.091699834	8.117902789	5.714245518	7.916476644	6.312882955	6.87282876	6.532940288	7.540709263	8.224966365	6.912889336	6.14363831	5.935459748	7.022367813	6.798309782	7.94602899	6.161887682	6.017921908	6.469234794	7.082149041	6.642412773	7.266786541	6.395748328	5.988684687	6.45779126	6.207502459	6.714245518	4.802193217	7.166916252	4.705977902	7.490249211	5.827819025	6.6395216	5.649615459	6.0725346	8.009548727	5.472487771	6.437960088	6.602884409	8.110613806	7.20261362	7.293701542	6.781359714	6.300123725	6.395748328	5.409390936	7.787249608	6.808642468	6.173926932	5.112700133	6.714245518	5.730639956	6.346956889	5.885086225	6.369815424	6.969242604	6.648177796	7.192785959	8.666401554	5.663913842	6.539158811	7.310158318	7.192785959	5.885086225	6.201633861	7.505414609	6.375039431	6.8899602	5.402585758	5.548436625	5.754887502	6.66106548	6.925999419	6.633721813	6.385431037	6.962317655	6.167919866	6.483815777	7.114783447	4.832890014	6.155830172	6.568336182	7.495855027	7.115823977	6.193771743	6.447909749	5.822730148	5.746850183	5.916476644	8.526694846
OSTP	7.252665432	6.390598906	1.963474124	6.341630009	6.011227255	4.529820947	5.173926932	4.765534746	5.961160258	7.01346226	5.961160258	3.263034406	7.421223299	4.432959407	5.504620392	7.48703608	3.169925001	5.675251386	6.826548487	7.766197597	6.601399391	5.364572432	6.426264755	9.007587972	2.678071905	5.867896464	4.026800059	3.070389328	7.653203362	0.925999419	6.145677455	8.067165427	7.130313146	5.703211467	5.336283388	7.198690586	3.185866545	3.897240426	4.560714954	5.274261661	5.061776198	4.786596362	7.221103725	6.223036338	5.99095486	2.722466024	5.044394119	6.649615459	3.070389328	6.177917792	5.244125943	6.161887682	2.263034406	4.177917792	4.169925001	5.804776378	7.024585638	5.995484519	2.925999419	2.963474124	3.548436625	4.247927513	3.655351829	6.081083929	4.472487771	2.232660757	5.692092375	3.0	5.137503524	7.861707287	6.137503524	2.678071905	4.329123596	7.626439137	3.765534746	6.392317423	7.01234519	6.584962501	4.121015401	4.153805336	2.678071905	6.037821465	5.827819025	5.266786541	7.935459748	5.078951341	8.864495703	8.167418146	6.797012978	2.786596362	2.0	4.887525271	3.232660757	4.044394119	6.659639187	6.692092375	6.402585758	2.722466024	2.632268215	5.339850003	4.87282876	5.112700133
POSTN	6.022367813	6.076815597	5.655351829	5.09592442	7.048759312	3.916476644	5.757556689	6.865423978	6.627898616	5.937815169	6.652486495	4.930737338	5.307428525	7.696967526	6.806066226	6.690696444	6.437960088	6.692092375	7.408542042	5.161887682	6.75087444	8.396176618	7.756222713	5.54225805	6.902073579	6.137503524	5.694880193	5.822730148	5.153805336	8.09592442	6.002252452	5.504620392	6.699051844	7.053111336	5.419538892	7.14363831	5.078951341	6.663913842	6.409390936	5.004501392	9.089318057	4.378511623	7.492654371	6.366322214	6.866660751	5.703211467	5.572889668	7.795715007	5.928370323	5.9795681	6.669593751	7.983563697	7.29553937	7.30103885	7.541483864	5.307428525	6.874059203	4.797012978	6.325530332	6.984133595	6.658211483	6.737416366	6.261154673	6.087462841	5.847996907	6.980710829	7.54225805	5.426264755	7.089582893	8.110613806	7.321928095	4.350497247	6.017921908	6.804776378	7.74819285	5.62058641	7.605849867	7.093813673	7.17990909	6.701826258	4.705977902	6.207502459	5.765534746	6.429615964	5.652486495	6.416164165	6.556122818	5.951867504	6.217230716	6.141596278	5.303780748	5.197708158	6.521992956	8.164404158	7.532940288	7.499048598	7.832257114	6.856736756	6.715618859	5.419538892	6.551516018	6.303780748
PRDX1	6.855491443	6.116863758	5.560714954	6.368069877	6.730639956	5.708739041	5.240314329	7.024585638	6.534497434	6.230741003	6.169925001	7.361943774	6.183883459	7.53838296	6.903279342	6.373300197	7.025693274	6.029011087	6.686500527	5.495055528	5.807354922	6.61176256	7.294620749	5.83541884	6.864186145	5.596935142	6.289096702	6.187846909	5.845490051	7.173926932	6.175923742	5.995484519	6.498250868	6.135452784	6.482202926	6.482202926	5.921245889	7.225930411	6.197708158	5.87036472	7.666756592	5.221103725	7.03562391	7.06501215	6.050936965	6.506208389	6.346956889	6.697662633	5.277984747	5.532940288	6.752213368	7.161887682	6.207502459	6.794415866	7.537606691	5.5360529	6.30560579	4.986410935	6.633721813	6.673839056	7.258330473	6.741466986	6.715618859	6.412781525	5.452858965	7.28077077	6.388878339	6.736063628	6.829088444	6.704595348	6.057450272	6.961160258	6.125155131	6.296457407	6.87036472	6.545350645	6.831623937	6.491853096	6.904484098	7.142617655	6.311067102	6.116863758	5.325530332	5.914086097	6.139551352	6.14974712	5.9795681	6.414473836	6.189824559	7.263973355	5.812498225	4.765534746	6.346956889	6.655351829	6.515699838	6.30560579	6.159871337	6.802193217	6.083213368	6.988684687	7.245077275	6.098032083
PRDX2	5.99095486	6.803485376	5.357552005	5.778734244	7.398316163	7.742140985	3.972692654	6.905687849	6.987548259	4.439623138	6.534497434	6.175923742	6.923624611	7.729280846	6.760220946	5.738767837	6.613236955	4.862947248	6.766860144	7.911691582	6.153805336	6.221103725	6.294620749	6.131342539	7.613236955	4.977279923	6.249824549	6.518849829	4.584962501	8.351380981	4.925999419	6.230741003	7.683696454	5.700439718	6.285402219	6.844234988	6.191799501	7.185866545	7.383704292	4.09592442	6.068240861	4.121015401	7.400025518	8.877437522	5.61176256	6.66106548	7.381975479	7.068240861	4.452858965	6.882643049	6.762880293	5.697662633	5.057450272	6.171927354	6.437960088	5.520422249	6.633721813	4.087462841	6.842978832	6.62497818	6.897240426	6.619119511	7.68580002	6.30560579	5.09592442	6.385431037	6.141596278	6.011227255	6.616181231	5.865423978	5.289096702	6.427941333	5.475733431	7.184875343	6.605849867	6.548436625	6.638073837	6.026800059	6.209453366	7.323730338	5.236492618	5.899659026	5.532940288	5.263034406	6.404290064	5.64096791	4.930737338	6.746850183	5.289096702	7.068240861	5.197708158	5.240314329	5.442943496	5.794415866	7.176921112	6.024585638	6.046578367	6.093813673	6.171927354	5.963474124	6.730639956	5.722466024
PA2GA	6.175923742	8.285864547	7.925999419	8.827819025	4.911691582	5.82527683	6.976134473	6.135452784	5.368069877	8.092228584	6.897240426	6.515699838	7.092757141	4.62058641	5.048759312	7.726558779	6.6043679	5.914086097	4.10433666	4.655351829	5.830356747	6.731997787	5.083213368	8.098032083	4.666756592	6.692092375	8.428360173	5.64096791	6.470862199	5.587964989	4.584962501	7.965784285	4.867896464	3.700439718	6.953032377	5.797012978	5.916476644	6.392317423	6.786596362	6.556122818	6.777419716	7.297374861	6.469234794	7.156841525	7.561478892	2.321928095	5.911691582	4.432959407	7.746178381	7.010108453	6.011227255	5.50779464	6.270528942	5.303780748	5.416164165	7.844234988	5.485426827	9.565102078	6.997744026	6.934280594	6.22881869	6.268658955	7.904484098	8.277519887	6.900866808	3.963474124	6.388878339	5.569855608	6.339850003	6.809928866	6.43629512	6.560714954	7.290940402	8.229299509	4.070389328	6.244125943	6.568336182	6.680886921	8.217715411	7.948367232	8.269126679	6.224966365	5.449561375	6.263034406	6.100136671	6.339850003	7.254556252	5.961160258	6.28169825	6.159871337	6.521992956	7.077883864	7.621319301	7.17292749	6.854245054	6.860466259	6.12722055	6.776103988	8.175424799	5.762880293	6.578938713	5.852997588
PLTP	7.201633861	7.216665632	5.09592442	5.897240426	6.739944697	6.599912842	7.247927513	7.10431721	5.951867504	7.361066489	6.205548911	5.970100588	5.862947248	6.571373436	6.309248961	6.127541087	5.232660757	5.867719505	6.046578367	5.526694846	8.534497434	7.351380981	7.85735901	8.579693063	8.898147876	8.398316163	6.199672345	7.170737301	6.230741003	4.837943242	5.129283017	7.200653436	7.191799501	6.754887502	4.026800059	6.837943242	6.03562391	7.217331336	7.864186145	5.938162127	6.263034406	7.101747089	7.95011843	7.034523875	7.73809226	4.153805336	4.452858965	6.125155131	5.554588852	6.011632224	6.759385556	6.426264755	6.407692649	4.121015401	7.90147032	6.217331076	6.40599236	6.074291318	6.361066489	5.597834085	7.36310923	7.181897643	7.584210901	8.256444596	6.061776198	6.416164165	6.707943068	6.177917792	4.419538892	6.087462841	7.091699834	6.459431619	6.399171094	8.921840937	6.64096791	6.04220656	6.432959407	7.485426827	5.472487771	5.336283388	3.972692654	6.699051844	7.285402219	5.714245518	6.114783447	5.368069877	7.817623258	7.456149035	6.114783447	5.860251277	3.666756592	6.9795681	6.865423978	7.656782364	7.336283388	5.705977902	8.425006041	6.087462841	5.747533418	6.108524457	5.432959407	7.199672345
PEDF	6.031218731	6.366322214	7.034523875	3.596935142	6.002252452	6.303780748	6.82527683	5.439623138	7.258330473	7.36719631	8.148730779	5.263034406	6.285402219	6.6043679	6.421223299	6.875288598	6.318316841	7.778734244	7.765534746	6.362820526	7.198690586	6.601399391	5.847996907	7.277984747	5.815063017	6.5360529	7.056366761	6.769507291	6.085339669	7.378511623	7.39145842	6.559185866	5.498250868	6.94016675	6.209453366	6.236492618	6.022367813	5.850499414	6.38024459	7.324630615	5.031218731	6.551516018	6.474111514	6.070389328	6.153805336	6.247927513	6.638073837	8.116343961	7.587214952	7.745506266	6.145677455	6.856736756	7.820817182	5.517275693	6.381975479	8.146695948	6.772149591	7.138527801	6.951867504	6.733354341	5.632268215	7.057450272	5.669593751	6.407692649	8.353587949	6.444600814	7.469234794	7.152791852	6.289096702	7.672425342	6.864186145	5.307428525	8.194264383	6.656782364	7.426264755	6.155830172	6.548436625	7.007868243	6.574404309	6.091699834	4.765534746	6.822730148	7.873444113	7.030115331	6.375039431	5.112700133	5.855491443	6.66106548	6.76420813	5.949534933	8.393604969	5.997744026	6.933100475	5.935459748	6.346956889	6.531381461	6.325530332	6.193771743	7.363696745	6.294620749	5.274261661	5.658211483
KLKB1	6.981852653	6.307428525	7.599168993	5.057450272	6.059614856	6.822730148	7.64096791	6.116863758	6.45779126	5.815063017	6.614709844	5.61176256	6.590961241	6.610286657	6.12722055	6.841721581	5.87774425	6.714245518	6.777419716	7.048759312	7.090641752	6.911691582	6.589463893	7.593951284	7.074676686	6.30560579	6.652486495	6.762880293	5.899659026	6.51412226	6.6043679	6.6794801	6.330916878	6.565292521	6.008988783	6.715618859	7.0725346	5.185866545	6.642412773	7.942514505	5.791814071	6.312882955	6.375039431	6.431288654	6.675251386	5.452858965	6.118941073	6.404290064	6.61176256	7.235535607	5.997744026	6.046578367	6.627898616	6.770829046	6.829088444	6.354028938	6.87897051	6.165911939	6.153805336	6.272396509	6.298291731	6.155830172	6.167919866	7.942514505	6.255500733	6.240314329	6.619119511	6.355791547	5.392317423	6.312882955	6.704595348	5.749534268	6.5360529	7.11997861	6.692092375	6.935459748	6.701826258	6.841721581	6.059614856	6.14363831	5.752213368	6.520422249	7.990387652	5.892391026	7.196725061	5.762880293	6.205548911	6.309248961	7.037821465	5.783980414	6.264911693	8.303324127	6.562242424	6.329123596	6.490249211	6.074676686	5.738767837	5.560714954	5.916476644	5.587964989	5.752213368	6.006746832
IC1	6.653919873	6.029011087	7.760220946	4.744161096	6.813781191	7.928370323	8.118422024	6.191799501	6.8008999	6.368069877	7.019034669	4.786596362	6.839203788	7.087462841	6.171927354	6.911691582	6.752213368	6.419538892	6.276124405	6.116863758	6.223036338	5.865423978	6.844234988	5.904484098	6.205548911	6.470862199	6.44625623	6.955359305	5.916476644	6.475733431	6.806066226	5.733354341	5.529820947	7.393175914	6.617651119	6.314696526	5.498250868	6.314696526	6.48864354	5.809928866	5.529820947	6.026800059	6.94602899	6.070389328	7.499845887	6.595443985	6.296457407	6.685099172	6.464341533	6.708739041	6.137503524	6.191799501	6.726558779	7.207502459	7.137503524	6.948367232	6.642412773	6.431288654	7.110613806	6.383704292	6.03562391	6.811214118	5.914086097	6.861707287	6.432959407	6.666756592	7.590961241	7.14363831	5.850499414	5.865423978	6.432959407	5.472487771	6.875288598	7.001126665	7.547665748	6.666756592	5.738767837	6.986410935	5.510961919	6.139551352	4.329123596	6.622051819	6.961160258	6.757556689	6.623515741	5.862947248	5.722466024	5.94016675	7.353146825	5.274261661	6.694880193	7.370687407	7.361066489	5.916476644	6.266786541	6.531381461	4.862947248	5.526694846	6.498250868	4.797012978	6.040015679	6.300123725
IPSP	4.572889668	6.453429286	5.478971805	3.596935142	6.369815424	5.157852169	7.497452696	6.776103988	6.718361626	4.044394119	7.404290064	7.245077275	5.608809243	7.050936965	7.101187815	6.978424465	7.306517445	6.721099189	7.241268177	6.581953751	7.154818109	6.885086225	6.515699838	5.62058641	6.765534746	5.778734244	5.478971805	8.306061689	6.64803104	5.925999419	7.557655155	4.240314329	5.584962501	7.753551055	6.336283388	6.38024459	5.62935662	6.393502959	6.534497434	6.141516323	6.121015401	5.392317423	5.765534746	5.87282876	6.504743438	6.114783447	7.554588852	6.761551232	6.002252452	7.665335917	6.191799501	6.123086751	6.653919873	7.188836073	6.986410935	6.432070393	6.607330314	4.944858446	6.883222917	6.499845887	6.114783447	5.970393538	6.209453366	6.412781525	5.860466259	5.626439137	7.053111336	7.60979967	7.224001674	6.411087227	6.568336182	6.173926932	6.703211467	6.741466986	7.229780167	6.145677455	6.209453366	6.135452784	6.61176256	6.409390936	6.898450233	5.703211467	4.626439137	6.10433666	6.061776198	6.671010241	5.236492618	6.58044702	6.474111514	6.617651119	6.811214118	5.719731057	6.768184325	7.105384749	6.303780748	7.111657346	5.008988783	6.943209139	6.766860144	5.809928866	6.998872454	6.962317655
PLMN	7.483009577	5.329123596	6.876516947	5.776103988	5.100136671	8.54303182	6.392317423	5.928370323	5.402585758	5.66106548	6.880195729	4.270528942	6.207502459	6.266786541	5.364572432	7.262094845	4.827819025	7.117902789	6.532940288	8.17042585	7.521992956	6.078951341	5.770829046	7.829722735	7.531381461	6.427941333	6.311067102	6.232660757	5.303780748	6.078951341	6.031218731	6.348728154	5.951867504	6.336283388	5.504620392	6.992088609	5.911691582	5.339850003	6.195741293	5.43629512	5.116863758	5.185866545	5.50779464	6.470862199	6.642412773	4.270528942	5.83541884	5.48864354	6.289096702	6.388878339	5.057450272	5.623515741	5.837943242	5.596935142	6.197708158	6.409390936	7.20261362	5.94016675	5.581953751	4.827819025	5.678071905	5.882643049	5.465974465	8.052568051	5.587964989	4.776103988	6.707359132	5.928370323	5.409390936	5.768184325	6.623515741	5.169925001	5.840463234	6.699051844	6.865423978	6.780047576	6.240314329	6.266786541	4.977279923	5.185866545	5.112700133	7.815063017	8.421644094	6.503030646	6.899659026	5.5360529	6.776103988	6.813781191	7.030115331	4.749534268	5.177917792	9.074141463	5.765534746	5.911691582	5.791814071	6.477353527	5.325530332	5.121015401	5.736063628	4.776103988	5.153805336	5.62935662
CXCL7	6.279842694	6.867896464	8.981567282	6.531381461	6.108524457	7.915879379	5.61176256	5.672425342	6.923624611	6.722466024	6.381975479	5.501439145	7.224966365	6.596935142	6.224966365	6.057450272	5.482202926	5.885086225	6.844234988	6.595443985	6.995484519	6.897240426	6.163901214	7.4749227	7.694183743	6.87897051	6.73470962	6.102238194	5.882643049	5.482202926	5.566815154	7.346956889	8.64096791	5.865423978	7.39145842	7.010108453	7.002252452	7.125155131	6.517275693	7.566815154	5.942514505	5.116863758	6.108524457	6.526694846	6.325530332	6.312882955	8.289096702	6.141596278	7.963474124	7.526694846	5.730639956	6.300123725	5.605849867	4.649615459	6.515699838	6.557655155	6.224966365	6.798309782	6.485426827	5.371558863	5.95419631	5.388878339	6.911691582	6.320123598	7.456970381	4.744161096	5.752213368	7.032321287	7.005624549	5.465974465	6.121015401	5.925999419	6.022367813	6.638073837	5.608809243	6.496654083	6.515699838	6.330916878	6.183883459	5.970393538	5.832890014	7.169925001	7.825912799	7.28169825	6.73470962	6.261154673	7.056366761	6.296457407	6.581953751	7.007868243	6.807354922	7.710806434	6.050936965	5.449561375	6.414473836	6.303780748	5.504620392	5.270528942	6.571373436	5.746850183	5.845490051	4.887525271
